순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
11,(사)부산광역시부산진구장애인협회 희망피복사업소,안○○,해당없음,"부산광역시 북구 기찰로 181-7, 2층(만덕동, 광덕물산)",051-338-5556,051-338-5557,미등록,미등록,2021-07-06,2024-02-26,363.7,329.7,34,"14300, 14111, 14112, 14120, 14191, 14192, 14199",편조의복 제조업 외 6종,도시지역/주거지역/제3종일반주거지역
12,(사)친환경복지가로누리,이○○,해당없음,부산광역시 기장군 정관읍 곰내길 603-30,051-900-0880,050-8090-0889,미등록,미등록,2025-04-24,2025-04-24,391,74.25,316.75,20422,"치약, 비누 및 기타 세제 제조업",도시지역/공업지역/일반공업지역
13,(사)컴피장애인복지자립협회,정○○,해당없음,"부산광역시 사하구 장림로 283, 4층 (장림동)",051-317-3332,051-317-3334,미등록,미등록,2026-06-25,2026-06-25,535,470.96,64.04,"14192, 14111, 14112, 14130, 14191, 14199, 14300, 14419, 14491, 14499","근무복, 작업복 및 유사의복 제조업 외 9종",도시지역/공업지역/준공업지역
14,(사)하나복지회 피복사업장,김○○,해당없음,"부산광역시 사하구 다대로354번안길 20, 2층(장림동)",051-262-6911,051-262-6912,미등록,미등록,2021-07-05,2026-06-05,0,324.36,10,"14111, 13221, 13222, 13223, 13224, 13225, 13229, 13300, 13999, 14112, 14120, 14130, 14191, 14192, 14193, 14194, 14199, 14200, 14300, 14411, 14419, 14491, 14499, 15121, 15129",남자용 겉옷 제조업 외 24종,도시지역/공업지역/준공업지역
15,(사)한국신체장애인복지회봉제사업부,김○○,해당없음,"부산광역시 사상구 사상로 415, 3층(모라동, (주)제이드엠)",051-363-9392,051-363-9394,미등록,미등록,2022-04-07,2023-09-25,0,350,881.55,"14111, 13221, 13224, 13229, 13999, 14112, 14191, 14192, 14199, 14300, 14491, 14499, 15129, 28422",남자용 겉옷 제조업 외 13종,도시지역/공업지역/준공업지역
16,(사)한국장애인공존협회,안○○,해당없음,"부산광역시 기장군 정관읍 예림1로 82, 주2",051-521-8815,051-521-8814,미등록,미등록,2022-08-12,2025-11-26,0,38.5,34.65,"28410, 28123, 28422",전구 및 램프 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
17,(사)한국장애인공존협회 정관지점,안○○,해당없음,부산광역시 기장군 정관읍 예림1로 82,051-521-8815,051-521-8814,2021-10-25,2021-10-25,2018-11-09,2024-01-22,2122,785.3,630.22,"13225, 17902, 28123",직물포대 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
18,(사)한국장애인녹색재단 녹색섬유사업단,김○○,해당없음,"부산광역시 북구 구만덕로60번길 52, 3층(만덕동)",051-332-3002,051-332-3009,미등록,미등록,2022-04-06,2022-04-06,198,165,33,"13221, 13223, 13224, 13229, 14111, 14112, 14120, 14191, 14192, 14199, 14300, 14491, 15129",침구 및 관련제품 제조업 외 12종,도시지역/주거지역/제1종일반주거지역
19,(사)한국장애인녹색재단 녹색섬유사업단,김○○,해당없음,"부산광역시 북구 만덕2로44번길 72, 106동비01호 (만덕동, 대성종합상가)",051-332-3002,051-332-3009,미등록,미등록,2018-05-02,2019-03-20,207,187.2,19.8,미등록,침구 및 관련제품 제조업,도시지역/주거지역/제3종일반주거지역
20,(사)한국장애인자립협회,이○○,해당없음,부산광역시 강서구 체육공원로52번길 84-1 (대저1동),051-959-4511,051-959-4512,미등록,미등록,2025-05-30,2025-05-30,827,467,0,17902,위생용 종이제품 제조업,도시지역/주거지역/제1종일반주거지역
21,(사복)영광직업재활원,박○○,해당없음,부산광역시 해운대구 삼어로91번길 11 (반여동),051-523-5421,051-523-5422,1998-01-01,1998-01-01,2000-02-25,2000-02-25,230,179.4,375.88,14419,기타 편조의복 액세서리 제조업,도시지역/공업지역/준공업지역
22,(유)고려금속,강○○,해당없음,부산광역시 강서구 상덕로49번길 135 (강동동),051-972-0813,055-552-3240,미등록,미등록,2008-10-30,2008-10-30,677,297.6,0,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,도시지역/녹지지역/자연녹지지역
23,(유)광명금속,최○○,해당없음,부산광역시 강서구 녹산산업중로 354 (송정동),051-972-1300,051-972-3003,2021-07-14,2021-07-14,2025-06-25,2025-06-25,2314,1305,343.2,24312,강주물 주조업,도시지역/공업지역/일반공업지역
24,(유)극동산업기계,김○○,해당없음,부산광역시 사상구 학감대로147번길 54 (학장동),051-325-1161,051-324-0258,1998-01-01,미등록,2000-03-15,2017-11-28,1850.6,1290.83,25,"29199, 29177",그 외 기타 일반목적용 기계 제조업 외 1종,도시지역/공업지역/전용공업지역
25,(유)대동,노○○,해당없음,부산광역시 사하구 다산로 212 (다대동),051-264-8833,051-264-8839,1994-05-20,2014-10-08,1994-05-20,2026-06-18,2629.7,1352.05,1029.91,"28519, 28410, 28422, 30391, 30392, 30399, 30400",기타 가정용 전기기기 제조업 외 6종,도시지역/공업지역/전용공업지역
26,(유)류진글로벌,박○○○○,해당없음,부산광역시 기장군 장안읍 장안산단4로 78,051-723-7778,051-723-7777,2009-07-07,2024-05-09,2013-02-18,2024-05-09,42475.6,42335.27,72.91,"26299, 25113, 25114, 29177, 35114",그 외 기타 전자부품 제조업 외 4종,도시지역/공업지역/일반공업지역
27,(유)미화프라스틱,김○○,해당없음,부산광역시 기장군 정관면 산단2로 16-6 ((주)미화 플라스틱),051-303-0554,051-301-0551,2010-09-08,2011-01-06,2010-12-23,2022-04-04,2526.3,2146.81,1006.2,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/일반공업지역
28,(유)비씨코로텍,정○○,해당없음,부산광역시 강서구 낙동남로683번길 15 (녹산동),051-412-8551,051-412-8552,미등록,미등록,2013-08-19,2013-08-19,1444,489.75,0,31114,선박 구성 부분품 제조업,도시지역/주거지역/제1종일반주거지역
29,(유)신아종합,곽○○,해당없음,부산광역시 서구 충무대로241번길 5-16 (남부민동),051-241-6151,051-244-2878,미등록,미등록,2002-11-01,2002-11-01,331,280,849.6,"26429, 27211",기타 무선 통신장비 제조업 외 1종,도시지역/상업지역/일반상업지역
30,(유)태린세이프티인터내셔날,이○○,해당없음,"부산광역시 사상구 모덕로96번길 55, 3층(덕포동)",051-325-7775,051-317-8885,미등록,미등록,2022-08-08,2022-08-08,0,440.3,220,"15211, 15219, 15220",구두류 제조업 외 2종,도시지역/공업지역/준공업지역
31,(유)프라이그코리아,요○○○○○○○○,해당없음,부산광역시 강서구 녹산산단27로 19 (송정동),051-831-6985,051-831-4497,2009-08-05,미등록,2009-08-11,2026-04-07,1648.6,1840.76,416.86,"29133, 28123, 29120, 31114","탭, 밸브 및 유사장치 제조업 외 3종",도시지역/공업지역/일반공업지역
32,(유)피피지코리아,구○○,해당없음,부산광역시 남구 신선로356번길 21 (용당동),051-620-8221,051-710-8208,1974-11-15,미등록,1983-05-16,2022-10-31,7941.05,4401.61,1244.84,20411,일반용 도료 및 관련제품 제조업,도시지역/공업지역/준공업지역
33,(재)부산경제진흥원 녹산출장소,김○○,해당없음,미등록,051-971-1730,미등록,2017-09-19,2017-09-19,미등록,미등록,9900.6,0,10937.91,미등록,미등록,도시지역/상업지역/일반상업지역
34,(재)부산테크노파크,김○○,해당없음,부산광역시 기장군 일광면 횡계길 7 (해양생물산업육성센터),051-720-8926,051-723-3320,2008-10-15,미등록,2008-11-27,2021-12-31,11507,1490.56,1299.6,20423,화장품 제조업,도시지역/공업지역/일반공업지역
35,(재)부산테크노파크,김○○,해당없음,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",051-600-1700,미등록,2000-03-15,2000-03-15,2004-10-08,2026-06-30,19506,887.66,8250.28,"15219, 29293",기타 신발 제조업 외 1종,도시지역/공업지역/일반공업지역
36,(주) 대성FNT,김○○,해당없음,부산광역시 강서구 식만로 33-34 (죽림동),미등록,미등록,미등록,미등록,2011-04-11,2011-12-13,966,492.2,0,13229,기타 직물제품 제조업,도시지역/주거지역/제1종일반주거지역
37,(주) 라인자동화,황○○,해당없음,부산광역시 강서구 공항로533번가길 54 (대저2동),051-316-3707,051-316-3709,미등록,미등록,2011-03-03,2014-02-06,723,429.6,0,29280,산업용 로봇 제조업,도시지역/주거지역/제1종일반주거지역
38,(주) 송림드리움,김○○,해당없음,부산광역시 연제구 과정로287번길 52 (연산동),051-862-8170,051-862-8174,미등록,미등록,2008-11-21,2018-01-11,283,158,69.15,13223,커튼 및 유사제품 제조업,도시지역/주거지역/제2종일반주거지역
39,(주) 아이티씨,문○○,해당없음,부산광역시 강서구 생곡산단1로24번길 14 (생곡동),051-831-4620,051-831-4623,2024-07-02,2024-07-02,2024-10-16,2024-10-16,3307.4,2153.9,273.44,17902,위생용 종이제품 제조업,도시지역/공업지역/일반공업지역
40,(주) 예맥통상,송○○,해당없음,부산광역시 사하구 비봉로 56 (신평동),051-207-9393,051-207-9494,1987-09-03,1987-09-03,1994-08-02,2013-04-22,425,360,480.19,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",도시지역/주거지역/제2종일반주거지역
41,(주) 우원ENG,이○○,해당없음,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",051-647-7182,051-647-7184,2026-04-22,2026-04-22,2026-04-30,2026-04-30,0,184.13,83.8,"25112, 27213, 32029, 32091",구조용 금속 판제품 및 공작물 제조업 외 3종,도시지역/공업지역/일반공업지역
42,(주) 제이케이이엔지,최○○,해당없음,부산광역시 강서구 녹산산단262로50번길 7 (송정동),051-831-7186,051-831-6186,2015-06-12,미등록,2015-08-11,2016-05-09,1701.4,983.76,342,"25924, 25113, 25114, 25200, 25912, 25995, 25999",절삭가공 및 유사처리업 외 6종,도시지역/공업지역/일반공업지역
43,(주) 천명하이텍,윤○○,해당없음,부산광역시 사상구 새벽시장로 124 (감전동) Woon Micron,051-514-3104,0502-989-9874,미등록,미등록,2021-02-16,2021-02-16,165,155,10,"24131, 24133, 24221, 25112, 25122, 25200, 25912, 25999, 27213, 28121, 29120, 29131, 29132, 29133, 29142, 29169, 29199, 29229, 30310, 30320, 30331, 30391, 30392, 30399, 30400, 31113, 31114, 31311, 31322, 31910",주철관 제조업 외 29종,도시지역/공업지역/준공업지역
44,(주) 티아,이○○,해당없음,부산광역시 강서구 화전산단5로84번길 22 (화전동),051-941-2097,051-941-2098,2015-06-03,미등록,2015-06-17,2015-06-17,0,660,0,29120,유압기기 제조업,도시지역/공업지역/일반공업지역
45,(주) 파이플러스,정○○,해당없음,부산광역시 강서구 녹산산업중로 31-19 (송정동),051-831-9338,051-831-9538,2025-12-26,2025-12-26,2026-04-20,2026-04-20,2553,1738.5,308.95,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
46,(주) 한솔아이스컴패니,윤○○,해당없음,"부산광역시 부산진구 동성로49번길 13, 1층 (전포동)",051-907-9235,미등록,미등록,미등록,2014-01-23,2014-01-23,0,99.17,18.65,11201,얼음 제조업,도시지역/주거지역/제3종일반주거지역
47,(주) 화림제약,김○○○○○○,부산시범공단,"부산광역시 남구 용호로159번길 94, A동 7층 전체 (용호동)",051-626-7726,051-627-9393,미등록,미등록,2017-05-01,2023-12-29,1550.79,121,1448.79,21220,한의약품 제조업,도시지역/공업지역/준공업지역
48,(주)21씨정공,최○○,해당없음,부산광역시 강서구 공항앞길85번길 100 (대저2동),051-301-7741,051-305-7741,미등록,미등록,2020-07-31,2020-07-31,827,462.41,31.59,25924,절삭가공 및 유사처리업,도시지역/주거지역/제1종일반주거지역
49,(주)ABB코리아,최○○,해당없음,부산광역시 금정구 개좌로 274 (회동동),051-933-0500,051-933-0507,2015-04-23,미등록,2015-04-28,2021-11-24,0,1049.04,557.19,68112,비주거용 건물 임대업,도시지역/공업지역/일반공업지역
50,(주)ALF,백○○○○○○○,해당없음,"부산광역시 사상구 새벽로 37(학장동, (주) ALF)",051-311-4682,051-311-4684,2021-08-08,2021-08-08,2022-11-18,2022-11-18,889.3,618.15,320.06,29150,"산업용 오븐, 노 및 노용 버너 제조업",도시지역/공업지역/준공업지역
51,(주)ALF,백○○○○○○○,해당없음,"부산광역시 사상구 새벽로 37 (학장동, (주)ALF)",051-311-4682,051-311-4684,2004-08-17,미등록,2004-08-17,2017-05-24,976.7,618.15,104.68,"29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 1종",도시지역/공업지역/전용공업지역
52,(주)BM,김○○,해당없음,"부산광역시 영도구 태종로 727,  한국해양대학교 창업보육센터508 (동삼동)",070-4066-1310,051-203-1244,미등록,미등록,2011-01-14,2011-01-14,0,29.7,29.7,"20112, 20499, 21301",바이오매스계 기초 화학물질 제조업 외 2종,도시지역/녹지지역/자연녹지지역
53,(주)DH전장,최○○,해당없음,"부산광역시 금정구 공단동로41번길 10, 보림팩토피아 407호~411호 (금사동)",051-521-1120,051-521-1123,미등록,미등록,2011-06-30,2022-07-01,714.28,570.61,143.67,"31910, 28111, 28113, 28119, 28909, 30310, 30320, 30331, 30332, 30391, 30392, 30399, 30400, 31311, 31312",전투용 차량 제조업 외 14종,도시지역/공업지역/준공업지역
54,(주)HJ중공업,송○○○○○○○,해당없음,"부산광역시 영도구 태종로 233, 외 2필지 (봉래동5가)",051-410-3114,051-410-8465,1969-12-20,2015-04-23,1991-12-20,2026-04-08,247068,81076.12,33653.39,"31111, 25113, 25122, 25130, 29161, 29163, 29169, 31113",강선 건조업 외 7종,
55,(주)HN푸드,전○○,해당없음,부산광역시 사하구 하신중앙로27번길 15 (장림동),051-263-7249,051-264-7249,미등록,미등록,2016-02-05,2016-02-05,0,100,298.64,10519,기타 곡물 가공품 제조업,도시지역/공업지역/준공업지역
56,(주)IEN한창,장○○,해당없음,부산광역시 강서구 녹산산단261로14번길 14 (송정동),051-831-3470,051-831-0311,1994-03-25,2013-06-03,2000-12-29,2021-09-29,6525.3,6405.34,436.73,"28119, 25121, 28112, 28113",기타 전기 변환장치 제조업 외 3종,도시지역/공업지역/일반공업지역
57,(주)IEN한창,장○○○○○○,해당없음,부산광역시 기장군 장안읍 반룡리 835-1 번지,051-831-3470,051-831-3477,2008-06-10,미등록,2019-02-15,2019-02-15,42599,20468.65,4620.03,"28112, 28119",변압기 제조업 외 1종,도시지역/공업지역/일반공업지역
58,(주)JH테크,이○○,해당없음,부산광역시 사상구 낙동대로815번길 50-26 (감전동),051-316-8062,051-316-8069,미등록,미등록,2013-06-19,2013-06-19,826,490,158,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2종,도시지역/공업지역/전용공업지역
59,(주)JK알에스티,정○○,해당없음,"부산광역시 강서구 가달2로 24(생곡동, (주)JK알에스티)",051-832-0533,051-832-0538,2012-08-10,2018-01-22,2016-03-08,2018-11-21,6592.6,5959.84,1635.6,"28123, 26410, 26421, 27216, 28113, 28119, 29150, 29171, 29261, 29299",배전반 및 전기 자동제어반 제조업 외 9종,도시지역/공업지역/일반공업지역
60,(주)KD밸브,표○○,해당없음,부산광역시 사하구 다산로106번길 61 (다대동),051-261-0856,051-261-0882,2017-09-18,미등록,2017-09-19,2017-09-19,1648.7,1767.35,799.28,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/일반공업지역
61,(주)KEM,노○○,해당없음,부산광역시 강서구 유통단지1로65번길 9 (대저2동),051-322-5151,051-322-5155,미등록,미등록,2017-04-21,2017-04-21,0,362.5,0,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1종",도시지역/상업지역/유통상업지역
62,(주)KS연합건설,김○○○○○○○,해당없음,부산광역시 기장군 정관읍 산단2로 16-5,055-381-0748,055-382-0748,2025-03-19,2025-09-01,2025-03-20,2025-09-01,0,100,0,"25112, 25914",구조용 금속 판제품 및 공작물 제조업 외 1종,도시지역/공업지역/일반공업지역
63,(주)KTE,구○○○○○○○,해당없음,부산광역시 강서구 녹산산단77로22번길 38 (송정동),051-265-0255,051-265-0250,2012-06-08,2025-05-27,2013-01-04,2025-12-04,2905.4,2057.64,346.12,"29261, 28113, 28119, 28123","산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 3종",도시지역/공업지역/일반공업지역
64,(주)KTE,구○○○○○○○,해당없음,부산광역시 강서구 녹산산업대로 95-12 (송정동),051-265-0255,051-265-0250,2022-09-27,미등록,2004-06-25,2023-07-13,24980.9,8885.49,10447.24,"28123, 28113, 28119, 28122, 29261, 31114",배전반 및 전기 자동제어반 제조업 외 5종,도시지역/공업지역/일반공업지역
65,(주)MS가스,전○○,해당없음,부산광역시 사상구 가야대로176번길 92 (학장동),051-316-2301,051-316-2306,1975-01-14,미등록,1975-01-14,2016-01-20,1179.8,203,171.14,"20121, 20122",수소 제조업 외 1종,도시지역/공업지역/전용공업지역
66,(주)MS동남산업가스,전○○,해당없음,부산광역시 사상구 가야대로176번길 90 (학장동),051-312-2825,051-311-2825,1998-01-01,미등록,1975-02-19,2015-08-24,1177.2,123.6,316.7,"20119, 20121, 20122",기타 기초 유기화학 물질 제조업 외 2종,도시지역/공업지역/전용공업지역
67,(주)MS이엔지,신○○,해당없음,부산광역시 사상구 학장로 165 (학장동),051-312-5501,051-326-3061,2020-12-15,2020-12-15,2020-12-15,2020-12-15,1986.4,2028.36,455.78,"29133, 29176, 29177","탭, 밸브 및 유사장치 제조업 외 2종",도시지역/공업지역/일반공업지역
68,(주)The예주,안○○,해당없음,"부산광역시 북구 구만덕로60번길 50, 지하1층, 1층, 2층 (만덕동)",051-331-9003,052-331-9005,미등록,미등록,2021-11-17,2026-07-01,393.5,939.73,135.5,"14192, 13221, 13224, 13229, 14111, 14112, 14120, 14191, 14199, 14300, 14419, 14491, 14499, 15129, 16300","근무복, 작업복 및 유사의복 제조업 외 14종",도시지역/주거지역/제1종일반주거지역
69,(주)Y2산업,이○○,해당없음,부산광역시 사하구 장림로 100 (장림동),051-264-4714,051-264-4724,2006-06-26,2006-06-26,2007-04-13,2007-04-13,1189,537.6,249,29229,기타 가공 공작기계 제조업,도시지역/공업지역/준공업지역
70,(주)가가대소,박○○,해당없음,"부산광역시 해운대구 우동3로11번길 28, 2층 (우동)",051-913-6884,미등록,미등록,미등록,2016-02-04,2016-02-04,179.13,87,92.13,10603,과자류 및 코코아 제품 제조업,도시지역/주거지역/제2종일반주거지역
71,(주)가나,정○○,센텀아이에스타워,"부산광역시 해운대구 센텀북대로 60, 6층 614호(재송동, 센텀아이에스타워)",070-4035-1350,미등록,2023-02-24,2023-02-24,2023-02-28,2023-02-28,0,104.02,0,14192,"근무복, 작업복 및 유사의복 제조업",도시지역/상업지역/일반상업지역
72,(주)가나랜드건설,정○○,해당없음,부산광역시 강서구 낙동북로138번길 116 (강동동),051-941-3055,051-941-3056,미등록,미등록,2014-02-27,2025-04-07,364,180,33,"33302, 33301",놀이터용 장비 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
73,(주)가나에스아이피,김○○,해당없음,부산광역시 금정구 금사로 159 (회동동),051-531-7557,051-531-7559,미등록,미등록,2021-03-16,2021-03-16,92.09,82,10.09,"33910, 28423",간판 및 광고물 제조업 외 1종,도시지역/주거지역/준주거지역
74,(주)가넷정보기술,임○○,BIFC II,"부산광역시 남구 남동천로 128, 1동 12층 1229호  (문현동)",051-925-1222,051-925-1223,미등록,미등록,2026-03-20,2026-04-21,193.6,33.12,160.48,"26421, 26310, 26410, 26429, 26519, 26529, 27211, 27213, 27215",방송장비 제조업 외 8종,도시지역/상업지역/일반상업지역
75,(주)가람디자인,전○○,해당없음,"부산광역시 금정구 개좌로 90, 1~2층 (금사동)",051-747-9733,051-955-2733,미등록,미등록,2025-02-12,2025-02-12,264.2,232.5,82.88,"33910, 25995, 25999, 28423",간판 및 광고물 제조업 외 3종,도시지역/공업지역/준공업지역
76,(주)가야기술,모○○,해당없음,부산광역시 사상구 학장로248번길 67 (학장동),051-314-6837,051-314-6839,미등록,미등록,2005-05-09,2007-12-20,84,84,20,"25122, 25123",금속탱크 및 저장용기 제조업 외 1종,도시지역/공업지역/준공업지역
77,(주)가야기술,모○○,해당없음,부산광역시 사상구 새벽시장로 106 (감전동),051-314-6837,051-314-6839,미등록,미등록,2008-04-21,2022-11-09,300,300,0,"29176, 19229, 23991, 23995, 23999, 25122, 27199, 27213, 29171, 29172, 29173, 29175, 29177",액체 여과기 제조업 외 12종,도시지역/공업지역/준공업지역
78,(주)가야특수강,임○○,해당없음,부산광역시 강서구 과학산단로 509 (지사동),051-831-9041,051-831-9333,2007-01-22,미등록,2007-04-11,2018-05-10,4771.3,2500,79.4,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/일반공업지역
79,(주)가온테크,전○○,해당없음,부산광역시 사상구 대동로 206(학장동),051-319-4530,051-319-4533,2021-04-06,2025-06-19,2021-04-07,2025-06-19,0,190,0,"29120, 25119, 25929, 25933, 25999, 27212, 27213, 27215, 29131, 29132, 29133, 29161, 29162, 29163, 29169, 29176, 29177, 29192, 29193, 29199, 29224, 29229, 29280, 29299, 30399, 31201, 31202, 31311",유압기기 제조업 외 27종,도시지역/공업지역/일반공업지역
80,(주)가온테크,배○○,해당없음,부산광역시 사상구 대동로 206 (학장동),051-319-4530,051-319-4533,미등록,미등록,2020-05-19,2020-07-17,0,120,0,"29120, 25119, 25933, 27213, 29132, 29133, 29161, 29162, 29169, 29192, 29193, 29199, 29299, 31202",유압기기 제조업 외 13종,도시지역/공업지역/전용공업지역
81,(주)가우리기술,이○○,해당없음,부산광역시 강서구 녹산산단77로22번길 23 (송정동),미등록,051-979-8969,2018-10-29,미등록,2019-05-02,2019-05-02,1652.4,903.21,340.1,29280,산업용 로봇 제조업,도시지역/공업지역/일반공업지역
82,(주)가유,안○○,해당없음,부산광역시 강서구 미음국제9로가길 15 (생곡동),055-252-1701,055-252-1709,2023-07-26,2023-07-26,2025-01-22,2025-01-22,11507.2,9296.71,2423.11,"30331, 29142, 29280",자동차용 신품 동력전달장치 제조업 외 2종,도시지역/공업지역/일반공업지역
83,(주)가유 부산1공장,안○○,해당없음,부산광역시 강서구 미음산단로 93 (구랑동),055-252-1701,055-252-1709,2014-04-22,2014-04-22,2016-08-04,2020-02-06,4690.2,3118.94,2185.94,29142,기어 및 동력전달장치 제조업,도시지역/공업지역/일반공업지역
84,(주)가유 부산2공장,안○○○○○○○,해당없음,부산광역시 강서구 미음국제3로 126 (미음동),055-252-1701,055-252-1709,2019-06-25,미등록,2020-07-23,2020-07-28,13229,10653.92,615.51,"30331, 29142, 29280",자동차용 신품 동력전달장치 제조업 외 2종,도시지역/공업지역/일반공업지역
85,(주)가포,김○○,해당없음,"부산광역시 동래구 미남로132번길 104 (온천동, 가포)",051-505-6191,051-503-6564,미등록,미등록,2007-04-30,2010-03-22,50,105.6,93.71,"33910, 18113, 18119, 25112, 25113, 25114, 25119, 25994, 25995, 25999, 26121, 26129, 28423, 33932",간판 및 광고물 제조업 외 13종,도시지역/주거지역/준주거지역
86,(주)가현식품,최○○,해당없음,부산광역시 강서구 대저중앙로172번길 32 (대저1동),051-991-1672,051-980-6608,미등록,미등록,2023-07-17,2023-07-17,434,231,0,10602,빵류 제조업,도시지역/주거지역/제1종일반주거지역
87,(주)감성플랜,김○○,센텀그린타워,"부산광역시 해운대구 센텀중앙로 78, 12층 1205 (우동, 센텀그린타워(CENTUM GREEN TOWER))",051-746-9055,미등록,2020-02-06,미등록,2020-05-12,2020-05-12,21.788,80,86.44,"33999, 33910, 33932, 73202",그 외 기타 달리 분류되지 않은 제품 제조업 외 3종,도시지역/상업지역/일반상업지역
88,(주)강남,신○○,해당없음,부산광역시 사하구 구평로16번길 71 (구평동),051-260-6000,051-262-7400,1990-11-19,미등록,1991-09-16,2025-12-23,98895,21540.62,13055.23,"31111, 31112, 31113, 31114, 31120",강선 건조업 외 4종,
89,(주)강동미디어,이○○,해당없음,"부산광역시 연제구 거제대로 176, 3층 (거제동, 한신상가)",051-864-6500,051-853-8444,미등록,미등록,2017-09-20,2017-09-20,207.65,64.5,143.15,"26519, 26421, 26529",비디오 및 기타 영상기기 제조업 외 2종,도시지역/주거지역/제3종일반주거지역
90,(주)강림씨에스피,임○○,해당없음,부산광역시 강서구 화전산단3로 10 (화전동),051-644-3111,051-644-1003,2006-10-18,미등록,2011-12-27,2024-01-17,33036.5,18560.98,3043.33,"24132, 24133",강관 제조업 외 1종,도시지역/공업지역/일반공업지역
