통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700037802,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700019230,140204,건축설비 기술자,140204,별칭일치,강,건축설비기술자,02,02,,
KR2026090700018058,890007,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",8,상위합의,약,목재,10,10,,후보 표결 — 지지 후보들의 13대분류가 10 로 모였다
KR2026090700142229,231100,사회복지사,,미분류,,,03,,,
KR2026090700020754,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700030944,821200,금속가공 기계 조작원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700017672,890002,단순 사상원(용접사상 제외-용접원구분),8,상위합의,약,조립,10,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700021751,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700022724,813201,CNC 선반 조작원(NC 선반 조작원),8,상위합의,약,검사,10,10,,사전(학습) 「설비」 — 정답 67건 중 36건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700028371,885900,기타 기계 조작원,8,상위합의,약,포장,10,10,,사전(학습) 「3d프린터조작원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700027197,612104,전기·전자장비 기술영업원,6,상위합의,약,반도체기술영업원,07,07,,후보 표결 — 지지 후보들의 13대분류가 07 로 모였다
KR2026090700024336,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037208,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",561101,별칭일치,강,사무실청소원,06,06,,
KR2026090700018332,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700027169,026501,총무 및 일반 사무원,026501,학습사전,중,총무사무원,01,01,,
KR2026090700037677,561100,건물 청소원,5,상위합의,약,아파트미화원,06,06,561101,"사전(학습) 「아파트미화원」 — 정답 8건 중 5건이 561101 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700029620,813213,기타 금속공작기계 조작원 및 보조원,8,상위합의,약,기계,10,10,,사전(학습) 「범용밀링기보조원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700015579,028500,생산 및 품질관리 사무원,028507,별칭일치,강,품질관리사무원,01,01,,
KR2026090700020052,027103,회계 사무원(일반 사업체),027103,별칭일치,강,회계사무원(일반사업체),01,01,,
KR2026090700142346,706001,조경시설물 설치원,1,상위합의,약,시스템,09,10,,사전(학습) 「설치」 — 정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037744,613202,건설자재 영업원,613202,학습사전,중,건축자재영업원,07,07,,
KR2026090700016866,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700015585,813210,머시닝센터(MCT) 조작원,813210,학습사전,중,머시닝센터,10,10,,
KR2026090700142522,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024586,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700038265,028500,생산 및 품질관리 사무원,028500,학습사전,중,공정관리기술자,01,01,,
KR2026090700027455,822301,제관원,822301,별칭일치,강,제관원,10,10,,
KR2026090700018108,132002,컴퓨터시스템 설계 및 분석가,133101,별칭일치,강,프로그래머,13,13,,
KR2026090700016650,027100,회계 사무원,0,상위합의,약,사무보조원직원,01,01,,사전(학습) 「회계」 — 정답 59건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700038322,214404,기계·금속·전기·전자 강사,2,상위합의,약,강사,03,03,,사전(학습) 「강사」 — 정답 20건 중 15건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
KR2026090700018099,813104,캐드캠 기능원,813104,별칭일치,강,캐드캠기능원,10,10,,
KR2026090700018904,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnc선반기능원,10,10,,
KR2026090700018344,231201,심리상담 전문가,231201,별칭일치,강,심리상담전문가,03,03,,
KR2026090700029304,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700024570,415504,UX/UI 디자이너,415401,별칭일치,강,광고디자이너,05,05,,
KR2026090700029422,523000,숙박시설 서비스 종사원,5,상위합의,약,호텔,06,06,561102,"사전(학습) 「호텔」 — 정답 19건 중 12건이 561102 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
KR2026090700028429,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700027958,822302,제관 보조원(견습공),822302,별칭일치,강,제관보조원,10,10,,
KR2026090700027664,706002,건설·채굴 단순 종사원,8,상위합의,약,설치,09,10,,사전(학습) 「설치」 — 정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037343,028512,품질관리 사무원(그 외 분야),1,상위합의,약,해양,01,10,,사전(수동) 「유지보수」 — 설비 정비. 분야 특정 불가
KR2026090700025144,028405,자재·구매 사무원(음식료품),0,상위합의,약,사무,01,01,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038217,531900,기타 조리사,5,상위합의,약,조리,06,06,,사전(학습) 「조리」 — 정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700021215,813206,연삭기 및 연마(광택)기 조작원,,미분류,,,10,,,
KR2026090700026532,232904,그 외 사회복지 종사원,550100,별칭일치,강,요양보호사,03,06,,
KR2026090700024587,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700038064,026202,영업 기획·관리·지원 사무원,0,상위합의,약,영업관리,01,01,026202,사전(학습) 「영업관리」 — 정답 18건 중 13건이 026202 영업 기획·관리·지원 사무원
KR2026090700037223,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",561101,별칭일치,강,아파트청소원,06,06,,
KR2026090700029356,890000,기타 제조 관련 단순 종사원,8,상위합의,약,제조,10,10,890000,사전(수동) 「노무」 — 제조 단순 종사원
KR2026090700024595,305000,영양사,0,상위합의,약,홍보,04,01,,사전(학습) 「홍보」 — 정답 14건 중 7건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700024009,151100,기계공학 기술자 및 연구원,1,상위합의,약,설계,02,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700142221,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700018865,834003,공장 전기관리원,8,상위합의,약,조선,10,10,,사전(학습) 「조선」 — 정답 54건 중 29건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700018903,232900,기타 사회복지 전문가 및 관련 종사원,5,상위합의,약,돌봄,03,06,,사전(학습) 「돌봄」 — 정답 57건 중 40건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700018048,890001,기계·금속 분야 단순 종사원,890001,학습사전,중,기계분야단순노무자,10,10,,
KR2026090700037757,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037650,415301,인테리어 디자이너,1,상위합의,약,설계,05,06,561102,"사전(학습) 「호텔」 — 정답 19건 중 12건이 561102 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
KR2026090700037828,026501,총무 및 일반 사무원,026501,학습사전,중,일반사무원,01,01,,
KR2026090700016587,852401,고무제품 조립원 및 검사원,624102,별칭일치,강,납품영업,12,08,,
KR2026090700019284,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024558,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700020533,890001,기계·금속 분야 단순 종사원,890001,학습사전,중,기계분야단순노무자,10,10,,
KR2026090700037387,016300,제품 생산 관련 관리자,8,상위합의,약,생산,01,10,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700024880,873101,육류 가공기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「가공」 — 정답 214건 중 183건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700021383,158400,산업안전 및 산업위험 관리 기술자,3,상위합의,약,안전관리,02,04,,사전(수동) 「팀장」 — 직급이라 직업을 특정할 수 없다
KR2026090700019720,027103,회계 사무원(일반 사업체),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700023813,027200,경리 사무원,027200,별칭일치,강,경리사무원,01,01,,
KR2026090700018085,222001,"법률 사무원(법원, 로펌, 법무사무소 등)",,미분류,,,03,,,
KR2026090700030401,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700028627,214402,이미용·예식 강사,2,상위합의,약,강사,03,03,,사전(학습) 「강사」 — 정답 20건 중 15건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
KR2026090700018345,532200,식음료 서비스 종사원,5,상위합의,약,주방보조,06,06,532300,사전(수동) 「주방보조」 — 주방 보조원
KR2026090700018071,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037805,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnc선반기능원,10,10,,
KR2026090700030090,813104,캐드캠 기능원,813104,별칭일치,강,캐드캠기능원,10,10,,
KR2026090700023832,029212,취업 알선원,029212,별칭일치,강,취업알선원,01,01,,
KR2026090700037705,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030861,890001,기계·금속 분야 단순 종사원,8,상위합의,약,조립,10,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700027449,531500,일식 조리사,531500,별칭일치,강,일식조리사,06,06,,
KR2026090700037269,834004,기타 전기·전자 설비 조작원,3,상위합의,약,안전관리,10,04,,사전(학습) 「전기기계관리원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700024906,612200,해외 영업원,612200,별칭일치,강,해외영업원,07,07,,
KR2026090700142500,026202,영업 기획·관리·지원 사무원,023100,별칭일치,강,회계사,01,01,,
KR2026090700019707,029904,사무 보조원(일반사업체),029904,학습사전,중,문서수발원(일반사업체),01,01,,
KR2026090700027962,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037335,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030097,813104,캐드캠 기능원,6,상위합의,약,영업,10,02,,사전(수동) 「cad」 — 제도·설계 — 공학기술직
KR2026090700020498,027204,경리 사무원(제조),027204,별칭일치,강,경리사무원(제조),01,01,,
KR2026090700142673,890006,식품 분야 단순 종사원,890006,학습사전,중,통조림생산보조원,10,10,,
KR2026090700142295,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,상위합의,약,아파트미화원,06,06,561101,"사전(학습) 「아파트미화원」 — 정답 8건 중 5건이 561101 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700015574,026202,영업 기획·관리·지원 사무원,0,상위합의,약,영업관리,01,01,026202,사전(학습) 「영업관리」 — 정답 18건 중 13건이 026202 영업 기획·관리·지원 사무원
KR2026090700019701,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnclath가공원,10,10,,
KR2026090700019217,026501,총무 및 일반 사무원,026501,학습사전,중,총무사무원,01,01,,
KR2026090700038122,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037957,232100,보육교사,232100,학습사전,중,어린이집교사,03,03,,
KR2026090700031200,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700037676,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",561102,학습사전,중,객실,06,06,,
KR2026090700030387,813103,다이캐스팅 금형 제조원,8,상위합의,약,금형,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700020777,028500,생산 및 품질관리 사무원,028500,학습사전,중,품질계획사무원,01,01,,
KR2026090700017688,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700142531,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700019737,531804,사업체 구내식당 급식 조리사,531804,학습사전,중,(회사)구내식당조리사,06,06,,
KR2026090700031485,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",561102,학습사전,중,객실,06,06,,
KR2026090700024340,028302,수상 운송 사무원(해상 운송),0,상위합의,약,물류,01,01,029904,사전(수동) 「사무직」 — 사무 보조원(일반사업체). KECO 명칭은 `사무원`
KR2026090700015996,824100,용접원,8,상위합의,약,용접사,10,10,,사전(학습) 「용접사」 — 정답 15건 중 14건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700023145,822302,제관 보조원(견습공),8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700029665,306400,치과위생사,306400,별칭일치,강,치과위생사,04,04,,
KR2026090700020236,307300,안경사,307300,별칭일치,강,안경사,04,04,,
KR2026090700030384,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700142347,890000,기타 제조 관련 단순 종사원,8,상위합의,약,조립,10,10,,사전(학습) 「조립」 — 정답 110건 중 96건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700026142,813201,CNC 선반 조작원(NC 선반 조작원),8,상위합의,약,작업자,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700020536,231400,직업 관련 상담사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700016645,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700022007,140300,토목공학 기술자,1,상위합의,약,시공,02,02,,사전(학습) 「시공」 — 정답 40건 중 25건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700021386,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700018872,024102,마케팅 전문가,0,상위합의,약,마케팅,01,01,,사전(학습) 「마케팅」 — 정답 12건 중 10건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700020443,158102,소방시설·설비 시공 기술자,158102,학습사전,중,설비기사,02,02,,
KR2026090700142410,027200,경리 사무원,0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700018377,905300,어업 관련 단순 종사원,905300,학습사전,중,연근해어부고용,11,11,,
KR2026090700030093,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",561102,학습사전,중,호텔청소원,06,06,,
KR2026090700027193,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700029406,531800,단체급식 조리사,305000,별칭일치,강,영양사,06,04,,
KR2026090700016964,824105,납땜원,824105,별칭일치,강,납땜원,10,10,,
KR2026090700037234,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700021162,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037155,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700022023,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700017619,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020062,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700022034,834000,전기 및 전자설비 조작원,8,상위합의,약,전기,10,10,,사전(수동) 「유지보수」 — 설비 정비. 분야 특정 불가
KR2026090700018868,823300,주조원,8,상위합의,약,생산,10,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030869,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142504,028500,생산 및 품질관리 사무원,028500,학습사전,중,공정관리기술자,01,01,,
KR2026090700026151,813201,CNC 선반 조작원(NC 선반 조작원),8,상위합의,약,금형,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700017610,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700021174,821200,금속가공 기계 조작원,8,상위합의,약,가공,10,02,,사전(수동) 「cad」 — 제도·설계 — 공학기술직
KR2026090700027011,532200,식음료 서비스 종사원,8,상위합의,약,음료제조,06,06,532300,사전(수동) 「주방」 — 주방 보조원
KR2026090700142185,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700029633,890001,기계·금속 분야 단순 종사원,890000,학습사전,중,단순직,10,10,,
KR2026090700023827,813209,금속절곡기 조작원(밴딩기 조작원),813209,별칭일치,강,밴딩기조작원,10,10,,
KR2026090700020518,813212,레이저 절단원,813212,별칭일치,강,레이저절단원,10,10,,
KR2026090700025460,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,권선공,10,10,,
KR2026090700019730,852103,고무 프레스기 조작원,852103,학습사전,중,고무유압프레스기조작원,12,12,,
KR2026090700027474,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700023997,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700029968,890000,기타 제조 관련 단순 종사원,8,상위합의,약,단순노동및주조원,10,10,,후보 표결 — 지지 후보들의 13대분류가 10 로 모였다
KR2026090700018935,415401,광고디자이너,4,상위합의,약,디자이너,05,05,,사전(학습) 「디자이너」 — 정답 12건 중 11건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
KR2026090700030646,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,상위합의,약,아파트미화원,06,06,561101,"사전(학습) 「아파트미화원」 — 정답 8건 중 5건이 561101 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142251,307501,간호조무사(요양병원 제외),307500,별칭일치,강,간호조무사,04,04,,
KR2026090700020836,811205,식품기계 설치·정비원,0,상위합의,약,공무,10,01,,사전(수동) 「공무」 — 제조업 공무팀(설비 관리)
KR2026090700038218,561400,재활용품 및 쓰레기 수거원,561400,학습사전,중,재활용품분리수거원,06,06,,
KR2026090700023098,027201,경리 사무원(무역),027201,별칭일치,강,경리사무원(무역),01,01,,
KR2026090700020833,612201,해외 영업원(영어),612201,학습사전,중,영어무역영업원,07,07,,
KR2026090700015567,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037959,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700142292,155500,환경공학 기술자 및 연구원,1,상위합의,약,환경,02,09,,사전(학습) 「환경기사」 — 정답 2건 중 1건이 09 건설·채굴직 — 세세분류는 흩어진다
KR2026090700142200,531500,일식 조리사,531500,별칭일치,강,일식조리사,06,06,,
KR2026090700017353,813200,금속 공작기계 조작원,813200,학습사전,중,밀링기조작원,10,10,,
KR2026090700142300,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700161214,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700018450,027205,경리 사무원(회계·세무 사무소),027205,학습사전,중,세무기장원,01,01,,
KR2026090700037236,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,권선공,10,10,,
KR2026090700024355,561100,건물 청소원,8,상위합의,약,기계,06,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700142524,028500,생산 및 품질관리 사무원,0,상위합의,약,품질관리,01,01,,사전(학습) 「품질관리」 — 정답 52건 중 39건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700026276,232903,장애인 생활지도원(장애인활동보조원 포함),0,상위합의,약,교육,03,01,,후보 표결 — 지지 후보들의 13대분류가 01 로 모였다
KR2026090700016908,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700016646,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700038317,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700142627,885900,기타 기계 조작원,8,상위합의,약,기계,10,10,,사전(학습) 「3d프린터조작원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700019204,026501,총무 및 일반 사무원,026501,학습사전,중,일반사무원,01,01,,
KR2026090700015563,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700025153,811700,건설·광업기계 설치 및 정비원,8,상위합의,약,기계,10,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700016591,890000,기타 제조 관련 단순 종사원,8,상위합의,약,작업자,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700031614,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030389,623004,지게차 운전원,623004,별칭일치,강,지게차운전원,08,08,,
KR2026090700015946,014300,환경·청소 및 경비 관련 관리자,5,상위합의,약,경비,01,06,,사전(학습) 「경비」 — 정답 16건 중 11건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700037483,621900,철도운송 관련 종사원,8,상위합의,약,포장,08,10,,사전(학습) 「포장」 — 정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700025457,027200,경리 사무원,027200,별칭일치,강,경리사무원,01,01,,
KR2026090700031161,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700015979,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700019679,852200,플라스틱제품 생산기 조작원,8,상위합의,약,화학,12,10,,사전(학습) 「화학」 — 정답 6건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037760,890001,기계·금속 분야 단순 종사원,8,상위합의,약,생산,10,10,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700020542,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700017320,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산,10,10,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700023104,028402,자재·구매 사무원(기계·자동차·금속),0,상위합의,약,구매,01,01,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700015967,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700018926,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700017369,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700142599,542003,공사현장 경비원,1,상위합의,약,보안,06,06,541300,사전(수동) 「보안」 — 시설 및 특수 경비원
KR2026090700027470,821100,금속가공 관련 제어 장치 조작원(용광로·용해로·금속가열로),,미분류,,,10,,,
KR2026090700037728,232903,장애인 생활지도원(장애인활동보조원 포함),232903,학습사전,중,장애인활동지원사,03,03,,
KR2026090700019272,028508,품질관리 사무원(기계·자동차·금속),028507,별칭일치,강,품질관리사무원,01,01,,
KR2026090700030644,813201,CNC 선반 조작원(NC 선반 조작원),8,상위합의,약,생산직,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700028560,890001,기계·금속 분야 단순 종사원,890001,학습사전,중,기계분야단순노무자,10,10,,
KR2026090700021160,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700142214,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700037882,026202,영업 기획·관리·지원 사무원,026202,학습사전,중,영업기획사무원,01,01,,
KR2026090700142207,214401,디자인·캐드 강사,2,상위합의,약,강사,03,03,,사전(학습) 「강사」 — 정답 20건 중 15건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
KR2026090700030825,026501,총무 및 일반 사무원,026501,학습사전,중,총무사무원,01,01,,
KR2026090700018061,816200,기계 부품 조립원,8,상위합의,약,조선,10,10,,사전(학습) 「조선」 — 정답 54건 중 29건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700026274,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700021199,706000,건설 및 광업 단순 종사원,6,상위합의,약,화물,09,02,,사전(학습) 「시공」 — 정답 40건 중 25건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700142220,026501,총무 및 일반 사무원,0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700026118,824102,"전기용접원(아크,알곤,티그용접원)",824102,별칭일치,강,전기용접원,10,10,,
KR2026090700142230,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,상위합의,약,미화원,06,06,561100,사전(수동) 「미화원」 — 건물 청소원
KR2026090700037182,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700030074,027208,단순 경리 사무원,027208,별칭일치,강,단순경리사무원,01,01,,
KR2026090700030151,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700028898,612201,해외 영업원(영어),0,상위합의,약,무역,07,01,,사전(학습) 「영어수출입영업원」 — 정답 2건 중 2건이 07 영업·판매직 — 세세분류는 흩어진다
KR2026090700025097,531803,병원 급식 조리사,5,상위합의,약,조리원,06,06,,사전(학습) 「조리원」 — 정답 12건 중 12건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700015658,813203,CNC 밀링기 조작원(NC 밀링기 조작원),,미분류,,,10,,,
KR2026090700024572,304000,간호사,304000,별칭일치,강,간호사,04,04,,
KR2026090700030662,614004,"텔레마케터(쇼핑몰, 백화점, 마트)",6,상위합의,약,쇼핑몰,07,07,,후보 표결 — 지지 후보들의 13대분류가 07 로 모였다
KR2026090700029345,140206,건축안전·환경·품질·에너지관리 기술자,3,상위합의,약,안전관리,02,04,,사전(학습) 「건축안전기술자」 — 정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700038329,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020058,027203,경리 사무원(건설),023100,별칭일치,강,회계사,01,01,,
KR2026090700142275,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700029627,813202,범용 선반 조작원,813202,학습사전,중,범용선반,10,10,,
KR2026090700020555,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700016960,813201,CNC 선반 조작원(NC 선반 조작원),813201,별칭일치,강,cnc선반조작원(nc선반조작원),10,10,,
