회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,수집시각
매머드 익스프레스 잠실트리지움점,매머드익스프레스 잠실 트리지움점에서 평일 8:00-13:00오픈 모집,"바리스타, 커피전문점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/118898727,2026-09-07 15:31:20
화성반월,"[롯데리아 화성반월점] 관리자,아르바이트 모집-평일/주말/주3일,주5일","주방보조·설거지, 패스트푸드점",1년이상,"시급 10,320원",경기 화성시 동탄구 능동,,상시모집,https://www.albamon.com/jobs/detail/118911435,2026-09-07 15:31:20
투썸플레이스 회현역점,[직영] 투썸플레이스 회현역점 마감스탭 (STAFF) 모집,"바리스타, 커피전문점, 아이스크림·디저트",3개월~6개월,"시급 10,400원",서울 노원구,,상시모집,https://www.albamon.com/jobs/detail/118850794,2026-09-07 15:31:20
투썸플레이스 청계천광교점,투썸플레이스 직영점포(상봉역점) 캡틴(CAPTAIN) 직원 채용,"바리스타, 커피전문점, 아이스크림·디저트",1년이상,"월급 2,500,000원",서울 중랑구 신내동,,상시모집,https://www.albamon.com/jobs/detail/118992399,2026-09-07 15:31:20
등촌역,"롯데리아 등촌역점 주부,아르바이트,경력직(리더,바이스)","패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118942965,2026-09-07 15:31:20
vip참치 서소문점,[급구)9월 7일 오늘/ 17-22시 /당일지급] 참치집 홀 알바,"서빙, 일반음식점",하루(1일),"시급 13,000원",서울 종로구,,2026-09-14,https://www.albamon.com/jobs/detail/119029376,2026-09-07 15:31:20
& (월282만-동대문구) SKT 장안센터 114 모집,## [월282만/동대문구] SKT 장안센터 114사원 모집(신입/경력),"서비스 기타, 고객상담·인바운드, 텔레마케팅·아웃바운드",1년이상,"연봉 34,000,000원",서울 동대문구 장안동,,2026-09-27,https://www.albamon.com/jobs/detail/119028159,2026-09-07 15:31:20
써브웨이 선릉점,"#시급11,000원#써브웨이 선릉점 알바 구인합니다 #평일 #주말#매니저","패밀리레스토랑, 패스트푸드점, 베이커리·도넛·떡",3개월~6개월,"시급 11,000원",서울 관악구 신림동,,상시모집,https://www.albamon.com/jobs/detail/119030852,2026-09-07 15:31:20
육회바른연어 김포운양점,육회바른연어 운양점 아르바이트 모집합니다.,"주방보조·설거지, 일반음식점, 매장관리·판매",1년이상,"시급 11,000원",경기 김포시 운양동,,상시모집,https://www.albamon.com/jobs/detail/119003505,2026-09-07 15:31:20
세화헬스케어/건강기능식품 알약 정제 선별,★알약★선별★OP★포장★2교대★근무환경 쾌적함★빠른 입사가능★,"제조·가공·조립, 포장·품질검사",1년이상,"월급 3,500,000원",충남 천안시 서북구,,상시모집,https://www.albamon.com/jobs/detail/119041905,2026-09-07 15:31:20
No-Brand광명소하점,No-Brand 광명소하점 Staff 모집,"매장관리·판매, 캐셔·카운터, 유통점·마트",3개월~6개월,"시급 11,500원",경기 광명시,,2026-09-16,https://www.albamon.com/jobs/detail/118795920,2026-09-07 15:31:20
풀무원푸드앤컬처,[서울/일원역] 삼성서울병원 행정동 구내식당 조리원 모집,"주방보조·설거지, 급식·푸드시스템",1년이상,"월급 2,300,000원",서울 강남구 일원동,,상시모집,https://www.albamon.com/jobs/detail/118805851,2026-09-07 15:31:20
-초보자가능-장기근무우대-단기근무가능-텃새없음,"검사 및 포장]석남역인근/텃세제로/익일,주급가능/외국인가능/만근수당20만","제조·가공·조립, 포장·품질검사",1년이상,"시급 10,500원",인천 서해구 가좌동,,상시모집,https://www.albamon.com/jobs/detail/119035570,2026-09-07 15:31:20
의정부금오점,[OOZY COFFEE] 우지커피 의정부금오점  알바채용,"바리스타, 커피전문점, 매장관리·판매 기타",6개월~1년,"시급 10,320원",경기 의정부시 금오동,,상시모집,https://www.albamon.com/jobs/detail/118833211,2026-09-07 15:31:20
아워홈(용인2센터),[일급12만원] 석간인원 대모집/15:30~24/초보OK/안정적인고정근무,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"일급 120,000원",경기 용인시 처인구,,상시모집,https://www.albamon.com/jobs/detail/119029374,2026-09-07 15:31:20
투썸플레이스 인천공항제1여객터미널4F점,[직영] 투썸플레이스 서여의도점 평일 미들 스탭 모집,"바리스타, 커피전문점, 아이스크림·디저트",3개월~6개월,"시급 10,400원",서울 양천구,,상시모집,https://www.albamon.com/jobs/detail/118840775,2026-09-07 15:31:20
㈜신세계엘앤비,"(9월단기)신세계백화점 광주점 와인진열,정리,택배포장 STAFF 모집","매장관리·판매, 판촉도우미, 유통점·마트",1주일~1개월,"시급 13,130원",전남광주 서구 광천동,,2026-09-08,https://www.albamon.com/jobs/detail/118770910,2026-09-07 15:31:20
컴포즈커피 인천부개주공점,컴포즈커피 부개주공점] 주말 6-10 마감 알바 구합니다,"바리스타, 커피전문점, 캐셔·카운터",1년이상,"시급 10,320원",인천 부평구,,상시모집,https://www.albamon.com/jobs/detail/118951895,2026-09-07 15:31:20
국립박물관문화재단,박물관문화상품 뮷즈 (주5일) 물류업무보조 아르바이트 모집(성수),입출고·창고관리,1개월~3개월,"시급 11,000원",서울 전체,,2026-09-13,https://www.albamon.com/jobs/detail/119041903,2026-09-07 15:31:20
브레드캐스트 KT&G타워점,[브레드캐스트 KT&G타워점] 평일 마감 STAFF 구인 모집,"제과제빵사, 커피전문점, 베이커리·도넛·떡",6개월~1년,"시급 10,800원",서울 강남구 대치동,,2026-09-25,https://www.albamon.com/jobs/detail/119008763,2026-09-07 15:31:20
KKD 원주무실점,"[ 크리스피크림도넛]원주무실점 토,일 오픈 생산 직원 급구(주휴수당OK)","베이커리·도넛·떡, 캐셔·카운터",6개월~1년,"시급 10,820원",강원 원주시,,상시모집,https://www.albamon.com/jobs/detail/118866663,2026-09-07 15:31:20
컴포즈커피 마곡퀸즈파크나인점,"컴포즈커피 마곡퀸즈파크나인점 토, 일 13시부터 18시까지","바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 12,000원",서울 강서구 마곡동,,상시모집,https://www.albamon.com/jobs/detail/118992393,2026-09-07 15:31:20
노브랜드버거 고속터미널점,[NBB 고속터미널직영] 출근은 가볍게 지갑은 무겁게!,"외식·음료, 서빙, 패스트푸드점",3개월~6개월,"시급 13,884원",서울 관악구,,상시모집,https://www.albamon.com/jobs/detail/118942953,2026-09-07 15:31:20
투썸플레이스 명동대연각타워점,[직영]투썸플레이스명동대연각타워점 평일 오픈/마감 스탭(STAFF)채용,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 용산구,,2026-09-12,https://www.albamon.com/jobs/detail/118801320,2026-09-07 15:31:20
컴포즈커피 장유무계점,컴포즈커피 장유무계점에서 알바구합니다,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 10,800원",경남 김해시 무계동,,상시모집,https://www.albamon.com/jobs/detail/119035566,2026-09-07 15:31:20
신동탄지국,SK인텔릭스 멤버스케어(MC)를 모집합니다.,"렌탈관리·A/S, 서비스 기타",1년이상,"월급 2,700,000원",경기 화성시 동탄구 목동,,상시모집,https://www.albamon.com/jobs/detail/119035561,2026-09-07 15:31:20
인트로맨㈜,[단순업무] 한진택배 물류 오후 알바 모집,상하차·소화물 분류,6개월~1년,"시급 13,000원",강원 춘천시,,상시모집,https://www.albamon.com/jobs/detail/117379760,2026-09-07 15:31:20
지상텔레콤,SK대리점정직원(장안정자점)판매사 구합니다.,"매장관리·판매, 휴대폰·전자기기매장, 오프라인영업·판매",1년이상,"월급 3,500,000원",경기 수원시 장안구 정자동,,상시모집,https://www.albamon.com/jobs/detail/119035378,2026-09-07 15:31:20
지에프㈜,세븐일레븐 원주물류센타 현장 정직원 & 지게차직원,"편의점, 매장관리·판매 기타, 입출고·창고관리",6개월~1년,"월급 2,600,000원",강원 횡성군,,2026-09-12,https://www.albamon.com/jobs/detail/119035558,2026-09-07 15:31:20
투썸플레이스 서울숲역점,[직영점] 투썸플레이스 서울숲역점 평일 미들 스탭 채용,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 광진구,,2026-09-18,https://www.albamon.com/jobs/detail/118999397,2026-09-07 15:31:20
송정더솔점,"이마트24송정더솔점에서 화,목,토 저녁타임 구인. 미성년자 지원불가.","매장관리·판매, 캐셔·카운터, 편의점",6개월~1년,"월급 807,171원",전남광주 광산구 소촌동,,2026-09-11,https://www.albamon.com/jobs/detail/118979608,2026-09-07 15:31:20
보보스링크㈜,[주5일] 폴로 랄프로렌 사운즈한남점 직영 러너(상품 딜리버리) 모집,"백화점·쇼핑몰, 의류·잡화·쥬얼리매장, 물류피킹·포장·전산",1년이상,"일급 105,000원",서울 중구,,상시모집,https://www.albamon.com/jobs/detail/119035553,2026-09-07 15:31:20
인천청천,[롯데리아 청천점] ★ 매니저 및 아르바이트 ★ 모집,"주방보조·설거지, 패스트푸드점, 매장관리·판매",1년이상,"월급 3,000,000원",인천 부평구 청천동,,상시모집,https://www.albamon.com/jobs/detail/118816621,2026-09-07 15:31:20
효성ITX㈜ 정규직-NH농협은행인바운드센터(금융상품몰),★[신청문의] 아낌e 보금자리론 제출서류/조건확인  ★인바운드 상담,고객상담·인바운드,1년이상,"월급 2,411,000원",서울 용산구 산천동,,2026-09-14,https://www.albamon.com/jobs/detail/119041895,2026-09-07 15:31:21
주식회사 뜸들이다,[뜸들이다 역삼점] 매장 풀타임 모집합니다.,"서빙, 주방장·조리사, 일반음식점",1년이상,"시급 12,500원",서울 강남구 역삼동,,상시모집,https://www.albamon.com/jobs/detail/119035820,2026-09-07 15:31:21
누룩목,★시급15000원★주3~5일 파트타임 모집합니다,"서빙, 일반음식점",3개월~6개월,"시급 15,000원",서울 송파구 신천동,,상시모집,https://www.albamon.com/jobs/detail/119019546,2026-09-07 15:31:21
등촌역,"롯데리아 등촌역점 주부,아르바이트,경력직(리더,바이스)","패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118942940,2026-09-07 15:31:21
주식회사 뜸들이다,[뜸들이다 압구정점/역삼점] 평일 매장 파트 / 외국인사절!,"서빙, 주방보조·설거지, 일반음식점",6개월~1년,"시급 12,500원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/119035377,2026-09-07 15:31:21
화성반월,"[롯데리아 화성반월점] 관리자,아르바이트 모집-평일/주말/주3일,주5일","주방보조·설거지, 패스트푸드점",1년이상,"시급 10,320원",경기 화성시 병점구 반월동,,상시모집,https://www.albamon.com/jobs/detail/118911409,2026-09-07 15:31:21
청량리역사,롯데리아 청량리역사점에서 같이 일할 아르바이트생 구합니다.,"주방보조·설거지, 패스트푸드점, 매장관리·판매",3개월~6개월,"시급 10,320원",서울 동대문구 전농동,,상시모집,https://www.albamon.com/jobs/detail/118858807,2026-09-07 15:31:21
투썸플레이스 대전탄방중앙점,[직영점] 투썸플레이스 대전지역 캡틴 채용,"바리스타, 커피전문점, 아이스크림·디저트",1년이상,"월급 2,500,000원",대전 전체,,상시모집,https://www.albamon.com/jobs/detail/118821475,2026-09-07 15:31:21
한국전자기술연구원 비서직,[판교/공공기관/근무환경좋음] 한국전자기술연구원 비서행정직 모집,"사무보조, 비서, 경리·회계보조",1년이상,"월급 2,880,000원",경기 성남시 수정구 시흥동,,2026-09-13,https://www.albamon.com/jobs/detail/119035547,2026-09-07 15:31:21
& (월282만-영등포) SKT 문래센터 114사원,## [월282만/영등포] SKT 문래센터 114사원 모집(신입/경력),"서비스 기타, 고객상담·인바운드, 텔레마케팅·아웃바운드",1년이상,"연봉 34,000,000원",서울 영등포구 문래동3가,,2026-09-27,https://www.albamon.com/jobs/detail/119028158,2026-09-07 15:31:21
노브랜드버거 신촌점,노브랜드버거 신촌점 평일 마감 근무자 모집합니다,패스트푸드점,6개월~1년,"시급 10,320원",서울 마포구 합정동,,상시모집,https://www.albamon.com/jobs/detail/119016636,2026-09-07 15:31:21
텐즈(TENZ)PC 동탄점,텐즈(TENZ)PC방 동탄점-함께 성장할 직원 및 알바생 모집,"서빙, 매장관리·판매, PC방",3개월~6개월,"시급 13,000원",경기 화성시 동탄구,,상시모집,https://www.albamon.com/jobs/detail/119029357,2026-09-07 15:31:21
투썸플레이스 포이DI점,[직영점] 투썸플레이스 포이DI점 목금토일 마감스탭 모집,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 강남구 개포동,,상시모집,https://www.albamon.com/jobs/detail/119024669,2026-09-07 15:31:21
노브랜드버거 한성대입구역점,노브랜드버거 한성대입구역점에서 함께 일하실분(주말) 모셔요,"서빙, 일반음식점, 패스트푸드점",3개월~6개월,"시급 11,000원",서울 성북구,,상시모집,https://www.albamon.com/jobs/detail/118761156,2026-09-07 15:31:21
컴포즈커피 압구정스마일점,카페!! 컴포즈커피 압구정스마일점 평일 오픈 알바 구합니다!!!,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 10,500원",서울 강남구 신사동,,상시모집,https://www.albamon.com/jobs/detail/118905871,2026-09-07 15:31:21
등촌역,"롯데리아 등촌역점 주부,아르바이트,경력직(리더,바이스)","패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118743724,2026-09-07 15:31:21
잡코리아파트너스 유한회사,[송도/대기업] 롯데계열사 사무지원 채용 (중식제공/통근버스有),"사무보조, 문서작성·자료조사, 경리·회계보조",1년이상,"연봉 36,000,000원",인천 연수구,,2026-09-12,https://www.albamon.com/jobs/detail/118969349,2026-09-07 15:31:21
No-Brand동탄TR점,노브랜드동탄TR스텝 채용,"매장관리·판매, 캐셔·카운터, 유통점·마트",3개월~6개월,"시급 11,500원",경기 화성시 동탄구 여울동,,상시모집,https://www.albamon.com/jobs/detail/118848195,2026-09-07 15:31:21
베네짐 교대점,역도보1분 (교대점)헬스장 [평일.주말] 인포데스크 (오전조) 선생님모집,"피트니스·스포츠, 안내데스크·리셉션, 사무보조",6개월~1년,"시급 10,320원",서울 서초구 서초동,,상시모집,https://www.albamon.com/jobs/detail/118912434,2026-09-07 15:31:21
투썸플레이스 명동대연각타워점,[직영]투썸플레이스명동대연각타워점 평일 오픈/마감 스탭(STAFF)채용,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 영등포구,,2026-09-12,https://www.albamon.com/jobs/detail/118801307,2026-09-07 15:31:21
일산동부지국,sk매직 일산동부지국 mc하반기 모집,"렌탈관리·A/S, 서비스 기타, 오프라인영업·판매",1년이상,"월급 2,700,000원",경기 고양시 일산동구 풍동,,상시모집,https://www.albamon.com/jobs/detail/118743720,2026-09-07 15:31:21
굄,"(주5일) 홀매니저, 주방직원, 홀파트타임(금토/일월12500) 모집","서빙, 주방장·조리사, 매장관리·판매",1년이상,"월급 3,000,000원",대전 유성구 송강동,,상시모집,https://www.albamon.com/jobs/detail/119041848,2026-09-07 15:31:21
평균급여 260만원/신입정착지원금 별도 지급,[문래역] 예별손해보험 인바운드 상담사 하반기 채용 (상시모집),고객상담·인바운드,1년이상,"월급 2,600,000원",서울 영등포구 당산동1가,,상시모집,https://www.albamon.com/jobs/detail/119031427,2026-09-07 15:31:21
술로장생빠,시급6만★하루40만★출근시간맘데로★초보환영★단기OK편한일,"서빙, 일반음식점, 호프·일반주점",1주일이하,"시급 60,000원",서울 동대문구,,상시모집,https://www.albamon.com/jobs/detail/119028607,2026-09-07 15:31:21
투썸플레이스 포이DI점,[직영점] 투썸플레이스 포이DI점 목금토일 마감스탭 모집,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 강남구 개포동,,상시모집,https://www.albamon.com/jobs/detail/119024666,2026-09-07 15:31:21
행텐물류센터 (양산),4일(화수목금)단기/반품의류 분류정리/남자/오전9시-오후6시/일 8만원,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",1주일이하,"일급 80,000원",경남 양산시,,상시모집,https://www.albamon.com/jobs/detail/119031412,2026-09-07 15:31:21
No-Brand용인청덕점,[노브랜드] 용인청덕점  스태프 모집,"매장관리·판매, 캐셔·카운터, 유통점·마트",3개월~6개월,"시급 11,500원",경기 용인시 기흥구 청덕동,,2026-09-16,https://www.albamon.com/jobs/detail/118826830,2026-09-07 15:31:21
아워홈(용인2센터),[일급12만원] 석간인원 대모집/15:30~24/초보OK/안정적인고정근무,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"일급 120,000원",경기 화성시 동탄구,,상시모집,https://www.albamon.com/jobs/detail/119029367,2026-09-07 15:31:21
인천공항T2 AS서편,"[인센+교통비 지급] 금,토 심야 채용중 롯데리아 인천공항T2A/S서편","주방보조·설거지, 패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,320원",인천 전체,,상시모집,https://www.albamon.com/jobs/detail/118845215,2026-09-07 15:31:21
지에프㈜,세븐일레븐 원주물류센타 현장 정직원 & 지게차직원,"편의점, 매장관리·판매 기타, 입출고·창고관리",6개월~1년,"월급 2,600,000원",강원 원주시,,2026-09-12,https://www.albamon.com/jobs/detail/119035533,2026-09-07 15:31:21
& (연제구/정규직) SK부산3센터 인바운드 모집,## (연제구/정규직) SK브로드밴드 106 사원 모집,"서비스 기타, 고객상담·인바운드, 텔레마케팅·아웃바운드",1년이상,"연봉 32,000,000원",부산 연제구 연산1동,,2026-09-27,https://www.albamon.com/jobs/detail/119028157,2026-09-07 15:31:21
송파삼전,롯데리아 송파삼전점 아르바이트 모집합니다!,"주방보조·설거지, 패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,500원",서울 전체,,상시모집,https://www.albamon.com/jobs/detail/118966586,2026-09-07 15:31:21
노브랜드버거 전북도청점,노브랜드버거 전북도청점 파트너 구인,"서빙, 일반음식점, 패스트푸드점",6개월~1년,"월급 10,320원",전북 전주시 완산구 효자동3가,,상시모집,https://www.albamon.com/jobs/detail/119035531,2026-09-07 15:31:21
치폴레,치폴레 한국 1호점 강남점 Grand open 크루멤버를 모집합니다.,"일반음식점, 패밀리레스토랑, 패스트푸드점",3개월~6개월,"시급 10,400원",서울 서초구 반포1동,,상시모집,https://www.albamon.com/jobs/detail/118833165,2026-09-07 15:31:21
컴포즈커피 압구정스마일점,카페!! 컴포즈커피 압구정스마일점 매니저 구합니다!!!,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"월급 2,400,000원",서울 강남구 신사동,,상시모집,https://www.albamon.com/jobs/detail/118905861,2026-09-07 15:31:21
등촌역,"롯데리아 등촌역점 청소 주부사원(시간당15,000원) 모집","주방보조·설거지, 패스트푸드점, 매장관리·판매",6개월~1년,"시급 15,000원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118942922,2026-09-07 15:31:21
(100명모집)(행사시작)(동반근무가능)(근무매우편함),[당일지급][8시간12만][수입화장품 단순작업] 남&여 모집,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",1년이상,"일급 143,700원",경기 안산시 단원구,,2026-09-27,https://www.albamon.com/jobs/detail/119041873,2026-09-07 15:31:21
지상텔레콤,SK대리점정직원(용인 처인))/CS(전산직) 직원 구합니다.,"매장관리·판매, 휴대폰·전자기기매장, 오프라인영업·판매",1년이상,"월급 3,500,000원",경기 용인시 처인구 양지면,,상시모집,https://www.albamon.com/jobs/detail/119035395,2026-09-07 15:31:21
투썸플레이스 포이DI점,[직영점] 투썸플레이스 포이DI점 목금토일 마감스탭 모집,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 강남구 개포동,,상시모집,https://www.albamon.com/jobs/detail/119024663,2026-09-07 15:31:21
제일제면소 제일제당센터점,"제일제면소제일제당센터점 staff모집(12,384원 주휴수당 포함)","서빙, 주방장·조리사, 일반음식점",3개월~6개월,"시급 10,320원",서울 중구 쌍림동,,상시모집,https://www.albamon.com/jobs/detail/118850783,2026-09-07 15:31:21
화성반월,"[롯데리아 화성반월점] 관리자,아르바이트 모집-평일/주말/주3일,주5일","주방보조·설거지, 패스트푸드점",1년이상,"시급 10,320원",경기 수원시 영통구 망포동,,상시모집,https://www.albamon.com/jobs/detail/118911393,2026-09-07 15:31:21
투썸플레이스 순화타워점,[직영] 투썸플레이스 순화타워점 직영 캡틴 (Captain) 모집,"바리스타, 커피전문점, 아이스크림·디저트",1년이상,"월급 2,500,000원",서울 마포구 대흥동,,상시모집,https://www.albamon.com/jobs/detail/118942919,2026-09-07 15:31:21
효성ITX㈜ 정규직-NH농협은행인바운드센터(금융상품몰),★[영업X]★ NH농협은행 비대면 대출 상품 안내 ##아낌e 보금자리론,고객상담·인바운드,1년이상,"월급 2,411,000원",서울 성북구 동선동2가,,2026-09-14,https://www.albamon.com/jobs/detail/119041868,2026-09-07 15:31:21
노브랜드버거 고속터미널점,[NBB 고속터미널직영] 출근은 가볍게 지갑은 무겁게!,"외식·음료, 서빙, 패스트푸드점",3개월~6개월,"시급 13,884원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118942918,2026-09-07 15:31:21
파이동물병원,[경기 용인] 파이동물병원 수의테크니션 수의간호사 모집,수의테크니션·동물보건사,1년이상,"연봉 30,000,000원",경기 용인시 처인구,,상시모집,https://www.albamon.com/jobs/detail/119027285,2026-09-07 15:31:21
㈜비에스케이코퍼레이션,[고디바 롯데월드몰] 프리미엄 초콜릿 매장 운영 정규 홀 사원,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"월급 2,400,000원",서울 송파구 신천동,,상시모집,https://www.albamon.com/jobs/detail/119026967,2026-09-07 15:31:21
두류서한포레스트점,이마트24 두류서한포레스트점 수목금(18-23) 모집,"매장관리·판매, 캐셔·카운터, 편의점",6개월~1년,"시급 10,320원",대구 달서구 두류동,,상시모집,https://www.albamon.com/jobs/detail/118997004,2026-09-07 15:31:21
육회바른연어 광명소하점,육회바른연어 광명소하점 아르바이트 모집,"주방보조·설거지, 일반음식점, 매장관리·판매",6개월~1년,"시급 11,000원",경기 광명시 소하동,,상시모집,https://www.albamon.com/jobs/detail/118807388,2026-09-07 15:31:21
애슐리퀸즈 여의도 한강공원점,"애슐리 여의도점 홀, 주방 직원 모집!! 시급 13,200원 주휴포함~","서빙, 주방장·조리사, 패밀리레스토랑",3개월~6개월,"시급 11,000원",서울 영등포구 여의도동,,2026-09-27,https://www.albamon.com/jobs/detail/119041819,2026-09-07 15:31:21
뚜레쥬르 인천공항T1 입국점,[교통비 지원] 뚜레쥬르 인천공항T1 입국점 평일 마감 Staff 모집,"제과제빵사, 커피전문점, 베이커리·도넛·떡",6개월~1년,"시급 10,800원",인천 영종구 운서동,,2026-09-13,https://www.albamon.com/jobs/detail/118749438,2026-09-07 15:31:21
삼성반도체,삼성고덕 신호수/화재감시자/안전감시단모집  월400이상 기숙사o 초보o,"공사·건설현장, 전기·칸막이·배관공사, 생산·건설·노무 기타",1년이상,"월급 4,000,000원",경기 수원시 권선구 고색동,,상시모집,https://www.albamon.com/jobs/detail/119035525,2026-09-07 15:31:21
컴포즈커피 평택브리티시고덕점,컴포즈커피 평택브리티시고덕점 목금 마감 파트타임,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 10,320원",경기 평택시,,상시모집,https://www.albamon.com/jobs/detail/118992360,2026-09-07 15:31:21
인천공항T2 AS서편,"[인센+교통비 지급] 금,토 심야 채용중 롯데리아 인천공항T2A/S서편","주방보조·설거지, 패스트푸드점, 매장관리·판매",6개월~1년,"시급 10,320원",인천 전체,,상시모집,https://www.albamon.com/jobs/detail/118845208,2026-09-07 15:31:21
& (정규직) SK브로드밴드 106 대표전화,## (금남로/정규직) SK브로드밴드 106 인바운드 모집,"서비스 기타, 고객상담·인바운드, 텔레마케팅·아웃바운드",1년이상,"연봉 32,000,000원",전남광주 동구 충장로3가,,2026-09-27,https://www.albamon.com/jobs/detail/119028155,2026-09-07 15:31:21
투썸플레이스 명동대연각타워점,[직영]투썸플레이스명동대연각타워점 평일 오픈/마감 스탭(STAFF)채용,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",서울 성북구,,2026-09-12,https://www.albamon.com/jobs/detail/118801293,2026-09-07 15:31:21
플레이트,[플레이트 둔산점]신규오픈멤버 모집 /정직원.파트타임:주말모집,"주방장·조리사, 일반음식점, 레스토랑",6개월~1년,"월급 3,300,000원",대전 서구,,상시모집,https://www.albamon.com/jobs/detail/119041832,2026-09-07 15:31:21
남녀무관 4대보험가입 업무난이도下 ㅣ김포5,[학운단지] 높은 시급으로 근무해요~ㅣ잔업/특근 자유ㅣ주급가능ㅣ남녀무관,"제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타",3개월~6개월,"시급 11,300원",경기 김포시 장기동,,상시모집,https://www.albamon.com/jobs/detail/119035518,2026-09-07 15:31:21
VIPS 제일제당센터점,[VIPS제일제당센터점]★주방 파트타임사원大모집★친구끼리지원가능,"서빙, 주방장·조리사, 패밀리레스토랑",3개월~6개월,"시급 12,384원",서울 전체,,상시모집,https://www.albamon.com/jobs/detail/118838813,2026-09-07 15:31:21
등촌역,"롯데리아 등촌역점 청소 주부사원(시간당15,000원) 모집","주방보조·설거지, 패스트푸드점, 매장관리·판매",6개월~1년,"시급 15,000원",서울 강서구,,상시모집,https://www.albamon.com/jobs/detail/118942909,2026-09-07 15:31:21
벤슨 크리머리 서울,한화 ★ 벤슨(Benson) 아이스크림 매장 스탭 채용,"커피전문점, 아이스크림·디저트, 베이커리·도넛·떡",1년이상,"연봉 31,500,000원",서울 강남구 압구정동,,상시모집,https://www.albamon.com/jobs/detail/118770857,2026-09-07 15:31:21
마켓컬리,부산 마켓컬리 새벽배송기사 모집 합니다 / 초보가능 / 차량대여가능,"화물·운송·이사, 택배·배송기사, 납품기사",1년이상,"월급 5,000,000원",부산 북구 화명동,,상시모집,https://www.albamon.com/jobs/detail/119041852,2026-09-07 15:31:21
마켓컬리,부산 마켓컬리 새벽배송기사 모집 합니다 / 초보가능 / 차량대여가능,"화물·운송·이사, 택배·배송기사, 납품기사",1년이상,"월급 5,000,000원",부산 사하구 다대동,,상시모집,https://www.albamon.com/jobs/detail/119041851,2026-09-07 15:31:21
마켓컬리,부산 마켓컬리 새벽배송기사 모집 합니다 / 초보가능 / 차량대여가능,"화물·운송·이사, 택배·배송기사, 납품기사",1년이상,"월급 5,000,000원",부산 부산진구 개금동,,상시모집,https://www.albamon.com/jobs/detail/119041850,2026-09-07 15:31:21
잠실본점,백소정 잠실본점에서(평일오전) 홀서빙 P/T 모집합니다.,"서빙, 주방장·조리사, 일반음식점",1개월~3개월,"시급 12,000원",서울 송파구 방이동,,상시모집,https://www.albamon.com/jobs/detail/118884472,2026-09-07 15:31:21
마켓컬리,부산 마켓컬리 새벽배송기사 모집 합니다 / 초보가능 / 차량대여가능,"화물·운송·이사, 택배·배송기사, 납품기사",1년이상,"월급 5,000,000원",부산 동래구 온천동,,상시모집,https://www.albamon.com/jobs/detail/119041849,2026-09-07 15:31:21
㈜유엔에스코리아,[연휴/단기/서울권] 호텔 프리랜서 보안 및 발렛 안내 모집,"호텔·리조트·숙박, 보안·경비·경호, 서비스 기타",1주일~1개월,"일급 130,000원",서울 전체,,2026-09-27,https://www.albamon.com/jobs/detail/119041854,2026-09-07 15:31:21
마켓컬리,부산 마켓컬리 새벽배송기사 모집 합니다 / 초보가능 / 차량대여가능,"화물·운송·이사, 택배·배송기사, 납품기사",1년이상,"월급 5,000,000원",부산 동래구 사직동,,상시모집,https://www.albamon.com/jobs/detail/119041847,2026-09-07 15:31:21
