통합키,사이트,원본공고ID,회사명,회사키,공고제목,직무,직무상세,직무키워드,담당업무,자격요건,우대사항,직종,직종코드,직종명,직종대분류코드,직종대분류,직종코드근거,업종,직급직책,근무요일,근무시작,근무종료,근무시간,급여형태,급여최소,급여최대,급여,채용인원,채용인원구분,모집인원원문,학력,경력구분,최소연차,고용형태,고용형태표준,알바여부,시도,시군구,지역원문,상세주소,기술스택,마감일,마감구분,원본_직무,원본_경력,원본_고용형태,원본_지역,원본_마감일,공고URL,외부원본ID,수집시각,부산판정근거
,잡코리아,49549359,㈜네오바이오텍,네오바이오텍,[네오바이오텍] 인천·부산·경남·광주 덴탈 국내영업 채용,"북부2지점, 부산1지점, 경남지점, 광주지점, 영업",,,,,,,,,,,,,,,,,,,,,,,없음,,고졸 이상,경력,,"정규직, 계약직","계약직, 정규직",,인천,부평구,인천 부평구,인천 부평구 주부토로 236 (갈산동,,2026-09-07,기한,"북부2지점, 부산1지점, 경남지점, 광주지점",신입·경력,"정규직, 계약직",인천 부평구,2026-09-07,https://www.jobkorea.co.kr/Recruit/GI_Read/49549359,,2026-09-07 16:20:32,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49768210,㈜프로에스콤,프로에스콤,[소방보조선임필수] 송도센텀 하이브 시설기사 모집,"시설기사, 소방, 조선, 기사, 소방보조선임필수",,,,,,,,,,,,,,,,,,월급,310,311,"월급 3,100,000원 ~ 3,110,000원",,없음,,고졸 이상,경력,,계약직,계약직,,인천,연수구,인천 연수구,인천 연수구 인천타워대로 301 (송도동),,2026-09-11,기한,시설기사,경력,계약직,인천 연수구,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49768210,,2026-09-07 16:25:36,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49837772,㈜파이낸셜데이타시스템,파이낸셜데이타시스템,(긴급/강남) 부산은행 중급이상 개발자 모집,"부산은행 개발직, 개발자",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,계약직,계약직,,서울,서초구,서울 서초구,서울 서초구 서초대로 398 (서초동,,2026-09-11,기한,부산은행 개발직,경력,계약직,서울 서초구,2026-09-11,https://www.jobkorea.co.kr/Recruit/GI_Read/49837772,,2026-09-07 16:26:09,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49752373,㈜유안에이치알,유안에이치알,부산신항만컨테이너터미널야드감독모집,"본선작업간 현장관리, 운영센터 무전요청사항대응, 항만",,,,,,,,,,,,,,,,,,월급,316,317,"월급 3,160,000원 ~ 3,170,000원",,없음,,학력무관,무관,0,계약직,계약직,,경남,창원시,경남 창원시,경남 창원시 진해구 신항로 433 (안골동),,2026-09-09,기한,"본선작업간 현장관리,운영센터 무전요청사항대응",경력무관,계약직,경남 창원시,2026-09-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49752373,,2026-09-07 16:28:02,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49775882,㈜교원프라퍼티,교원프라퍼티,교원웰스 서비스 엔지니어 수시채용 (시흥/부산/김해),"서비스 엔지니어, 엔지니어",,,,,,,564900,기타 서비스 관련 단순 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,추정,,,,,,,연봉,3200,3501,"연봉 32,000,000원 ~ 35,010,000원",,없음,,학력무관,무관,0,"정규직, 계약직","계약직, 정규직",,서울,중구,서울 중구,서울 중구 을지로 51 (을지로2가,,2026-09-12,기한,서비스 엔지니어,경력무관,"정규직, 계약직",서울 중구,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49775882,,2026-09-07 16:31:55,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49781573,더리본㈜더파티센텀,더리본더파티센텀,[부산 1위 외식브랜드] (주)더파티 울산 직영점 홀관리자/홀담당자 모집,"영업부, 홀",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,"정규직, 계약직, 파트타임","알바, 계약직, 정규직",,울산,북구,울산 북구,울산 북구 진장17길 10 (진장동,,2026-09-12,기한,영업부,신입·경력,"정규직, 계약직, 파트타임",울산 북구,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49781573,,2026-09-07 16:39:08,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49932704,씨앤에스,씨앤에스,[재택근무] 쿠팡 (서울/부산) 고객센터 인바운드 상담직 모집,"C, S 고객상담, 고객센터",,,,,,,,,,,,,,,,,,연봉,2800,3101,"연봉 28,000,000원 ~ 31,010,000원",,없음,,고졸 이상,무관,0,정규직,정규직,,서울,구로구,서울 구로구,서울 구로구 구로동,,2026-09-12,기한,C/S 고객상담,경력무관,정규직,서울 구로구,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49932704,,2026-09-07 16:47:38,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49876674,두산건설㈜,두산건설,사무지원(계약직) 채용(부산),"사무지원, 사무",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,계약직,계약직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-13,기한,사무지원,신입·경력,계약직,,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49876674,,2026-09-07 16:47:38,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49900005,㈜더블유스피치커뮤니케이션,더블유스피치커뮤니케이션,"[우지은W스피치학원] 보이스&스피치, 면접, CS 강사 채용 [서울/부산]","스피치 강사, CS, 강사",,,,,,,,,,,,,,,,,,,,,,,없음,,대졸 이상,경력,,계약직,계약직,,서울,서초구,서울 서초구,서울 서초구 강남대로 405 (서초동,,2026-09-14,기한,스피치 강사,신입·경력,계약직,서울 서초구,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49900005,,2026-09-07 16:49:36,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907558,㈜커리어넷,커리어넷,[ 한국마사회 ] 2026년 위촉직(비서) 채용 공고 (경기/부산),"비서, 임원비서",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,계약직,계약직,,경기,과천시,경기 과천시,경기 과천시 경마공원대로 107 (주암동,,2026-09-14,기한,"비서,임원비서",경력무관,계약직,경기 과천시,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49907558,,2026-09-07 16:49:44,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49776411,㈜지에스에이,지에스에이,[부산][업계최고우대] 미앤미의원 전 지점 상담실장 채용,"상담실장, 실장",상담실장,,,경력 경력무관 학력 학력무관,"기본우대 컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 리더쉽 소유자, 유관업무 경력자(3년)",,,,,,,응용 소프트웨어 개발 및 공급업,,주5일(월~금),10:00,19:00,주5일(월~금) 10:00 ~ 19:00,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,무관,0,정규직,정규직,,서울,서초구,서울 서초구,서울 서초구 서초동 1309 S&GTOWER서초 8층,,2026-09-12,기한,상담실장,경력무관,정규직,서울 서초구,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49776411,,2026-09-07 16:51:57,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49591945,㈜휴머니스트,휴머니스트,리치몬트코리아 신규런칭 명품 브랜드 알라이아(ALAIA) 서울/부산 오픈멤버,리치몬트코리아 매장관리 및 판매사원,,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,정규직,정규직,,서울,서초구,서울 서초구,서울 서초구 신반포로 176 (반포동,,2026-09-13,기한,리치몬트코리아 매장관리 및 판매사원,경력무관,정규직,서울 서초구,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49591945,,2026-09-07 16:59:36,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49592545,엠비씨(MBC)아카데미 컴퓨터교육센터,엠비씨아카데미컴퓨터교육센터,[서울/경기/인천/대전/부산] 최대 전액지원 AI 무료 취업교육생과정 모집,"AI, 기획, 플랫폼, 개발자, 빅데이터, 분석, 솔루션, 퍼블리셔, 프론트엔드, 콘텐츠, 풀스택, 시스템, AI+X, 교육","AI+X 융복합, AI Roboflow, YOLO, 메타버스 기획, 그래픽전문가, AI와 유니티엔진, 스마트플랫폼 개발자, 빅데이터 분석 산업솔루션, 웹퍼블리셔, 프론트엔드, 반응형 웹콘텐츠, 풀스택, 웹기반 빅데이터분석 전문가, 지능형 교통정보 시스템 UI구현, 빅데이터를 활용한 풀스택, 자바(JAVA) 풀스택, 자바(JAVA) 스프링(Spring), 생산형 AI 마스터, 데이터 분석 마스터, Advanced K-Game Academy, 스마트 모빌리티 DX Academy, AI-X 스마트 교통 및 인프라 유지관리",,,"경력 신입·경력 학력 고졸이상 (졸업예정자 가능, 25년 졸업예정자 가능) 스킬",,,134100,네트워크 시스템 개발자,1,연구·공학기술,추정,기타 기술 및 직업훈련학원,,,,,,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,경력,,인턴,인턴,,경기,고양시,경기 고양시,"경기 고양시 일산동구 중앙로 1193 (장항동, 마두법조빌딩) 9층 지도보기 서울 구로구 공원로 83 (구로동) 4층 지도보기 서울 관악구 신림로 340 (신림동, 르네상스복합쇼핑몰) 6층 지도보기 서울 노원구 상계로 77 (상계동, 다나플라자) 2층 지도보기 대전광역시 서구 둔산로 59 (둔산동) 아이빌딩 4층",,2026-09-13,기한,AI+X,신입·경력,인턴,경기 고양시,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49592545,,2026-09-07 16:59:41,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49592544,엠비씨(MBC)아카데미 컴퓨터교육센터,엠비씨아카데미컴퓨터교육센터,"[서울/경기/인천/대전/부산] 국비 전액지원 무료 취업교육생과정모집 (AI, 풀스택개발, 웹디자인/퍼블리싱","UI, 웹디자인, 프론트엔드, 웹개발, UX, 퍼블리셔, 3D, 콘텐츠, 제작, AI, 개발, 기획, 비전 AI개발, 디지털, 교육, 풀스택, 퍼블리싱","디지털 디자인, UI/UX웹디자인, 프론트엔드 웹개발자, 웹디자인 취업, 스마트 UI/UX 웹퍼블리셔, 유니티를 활용, VR을 활용, 3D 콘텐츠 제작, 유니티(Unity) 3D 블렌더, 게임 그래픽 디자인, AI+X 융복합, AI Roboflow(비전 AI개발), YOLO기반(비전 AI개발), 메타버스 기획, 그래픽 전문가, AI와 유니티엔진, 스마트플랫폼 개발자, 빅데이터 분석 산업솔루션, 웹퍼블리셔/프론트엔드, 반응형 웹콘텐츠 개발기획자, 풀스택개발, RPA/LoWCode 빅데이터 분석가, 지능형교통정보시스템 UI구현, 빅데이",,,"경력 신입·경력 학력 고졸이상 (졸업예정자 가능, 25년 졸업예정자 가능) 스킬 , 메타버스, VR, 게임",,,415504,UX/UI 디자이너,4,예술·디자인·방송·스포츠,추정,기타 기술 및 직업훈련학원,,,,,,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,경력,,인턴,인턴,,경기,고양시,경기 고양시,"경기 고양시 일산동구 중앙로 1193 (장항동, 마두법조빌딩) 9층 지도보기 서울 구로구 공원로 83 (구로동) 4층 지도보기 서울 관악구 신림로 340 (신림동, 르네상스복합쇼핑몰) 6층 국제컴퓨터아카데미 지도보기 서울 노원구 상계로 77 (상계동, 다나플라자) 2층 지도보기 대전광역시 서구 둔산로 59 (둔산동) 아이빌딩 4층",,2026-09-13,기한,디지털,신입·경력,인턴,경기 고양시,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49592544,,2026-09-07 16:59:41,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49726554,㈜인앤아웃,인앤아웃,기흥(부산방향)휴게소 각부문 채용모집,"상품관리(기흥), 경리과장(기흥)(마감), 시설과장, 시설사원, 영업주임",,,,,,,,,,,,,,,,,,연봉,3500,,"연봉 35,000,000원",,없음,,고졸 이상,경력,,정규직,정규직,,경기,용인시,경기 용인시,경기 용인시 기흥구 공세동,,2026-09-15,기한,"상품관리(기흥), 경리과장(기흥)(마감), 시설과장, 시설사원, 영업주임",신입·경력,정규직,경기 용인시,2026-09-15,https://www.jobkorea.co.kr/Recruit/GI_Read/49726554,,2026-09-07 17:00:59,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49796775,㈜윌앤비전,윌앤비전,[창원/부산강서] 대기업 CS팀 행정 사무직원 모집,"사무직, 행정, 사무직원",,,,,,,,,,,,,,,,,,월급,250,,"월급 2,500,000원",,없음,,학력무관,무관,0,"계약직, 임시직",계약직,,경남,창원시,경남 창원시,경남 창원시 성산구 정동로162번길 34 (남산동),,2026-09-17,기한,사무직,경력무관,"계약직, 임시직",경남 창원시,2026-09-17,https://www.jobkorea.co.kr/Recruit/GI_Read/49796775,,2026-09-07 17:02:15,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49805735,부산식당 운정점,부산식당운정점,부산식당 운정점에서 주방 과장 부장급 직원 채용합니다,"주방, 직원",,,,,,,,,,,,,,,,,,월급,360,391,"월급 3,600,000원 ~ 3,910,000원",,없음,,학력무관,경력,,정규직,정규직,,경기,파주시,경기도 파주시,경기도 파주시 산내로7번길 4,,2026-09-18,기한,주방,경력,정규직,경기도 파주시,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49805735,,2026-09-07 17:11:07,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907862,㈜재능교육 경북도청 학습센터,재능교육경북도청학습센터,예천 호명읍 우방센텀 재능스스로교실(직영점/보증금없음)원장님 모집,"학습지교사, 원장",,,,,,,,,,,,,,,,,,,,,,,없음,,초대졸 이상,무관,0,계약직,계약직,,경북,안동시,경북 안동시,경북 안동시 검무로 46 (갈전리),,2026-09-15,기한,학습지교사,경력무관,계약직,경북 안동시,2026-09-15,https://www.jobkorea.co.kr/Recruit/GI_Read/49907862,,2026-09-07 17:12:33,제목엔 부산이나 근무지주소가 타지역
