직무토큰,건수,직종코드,메모,후보1,후보2,후보3,예시1,예시2,예시3
물류관리,7,,,028408 물류 사무원(물류 관리사),901502 식물 관리원,542000 건물 관리원,메이드오브하트에서 물류관리 담당자를 찾고 있어요,[(주)티에스라이팅 부산] 물류관리 담당자 채용,"[딜라이트이앤씨] 수입 식품 등 검역, 물류관리직 채용"
매니져,7,,,029201 콜센터 매니저,417300 연예인 및 스포츠 매니저,031200 자산 운용가(펀드매니저),미피스토어 부매니져 모집합니다.,고메스퀘어 부산하단직영점 홀파트 매니져 채용.,외국계 Project Manager/ 기술 프로젝트 매니져 정규직 채용
정직원,7,,,,,,블루리본 마린시티 빵빵빵. 오전 홀 팀원 구인(정직원),디프런트데이즈에서 새로운 가족을 모집합니다,해운대 브런치카페 리본 정직원 채용
솔루션,7,,,,,,(주)닷코 플랫폼 및 솔루션 운영 / AI 테스트 엔지니어,[경력] 고객사 현장 솔루션 엔지니어 (FDE),"[이지서티] IT 솔루션 엔지니어(신입/경력, 지역:영남, 호남)"
기능직,6,,,"705902 잠수 기능원(잠수부, 구난 잠수요원)",813104 캐드캠 기능원,"701904 기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)",한국건강관리협회부산동부 기능직(장애인) 구인 공고,부산 영도구 HJ중공업 내 현장기능직 모집(신호수&선거),연구보조원(기능직) 채용안내
인증,6,,,"022100 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)",,,해썹 HACCP 컨설팅 방문 담당자 채용,메르세데스-벤츠 부산남천 인증중고차전시장 SC 계약희망자 모집,[가족친화인증기업](주)힘콤 LG유플러스 대리점 전산입력원 모집
조제보조,6,,,823302 주조 보조원(견습공),823102 단조 보조원(견습공),822302 제관 보조원(견습공),조제보조  전산 경력무관 모집(정규직),동래역 맞은편 미래약국에서 함께 근무하실 직원분 모십니다.,약국 조제보조  오후 근무(신규 및 경력자 가능)
연구개발,6,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133300 웹 개발자,013100 연구 관리자(부서장),[코스닥 상장사]2026년 연구개발부 채용,패키징용 잉크(그라비아 플렉소) 연구개발 경력자 모집,태광후지킨(tk-fujikin) 연구개발부 신입 사원 채용
디자인팀,6,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,전문건설회사 디자인팀 공고 (대리직급 1명),[아르코 스튜디오] 인테리어 디자인팀 채용,디자인팀 팀장 (부산)
s기사,6,,,029600 속기사,416400 촬영기사,306700 재활공학 기사(의지보조기기사),"[포스A/S 경력만 지원] 마트,음식점 등 포스기,카드단말기 A/S",상업용 냉난방기a/s,레이저 장비 A/S 엔지니어 모집 (근무지: 부산)
입고,5,,,,,,기가입고객 보상처리 담당자 모집,태광후지킨 (tk-fujikin) SCM1팀 신입/경력 채용 공고,더 천유  정규직 모집 - 입고파트
법인영업,5,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 ,[부산동구본점] 법인영업/금융서비스 신입,[기장레드본부] 법인영업/금융서비스 신입
국어선생,5,,,214201 국어 강사,212101 국어 교사,214104 한국어 강사(다문화 언어지도사 포함),중고등 파트 국어선생님 모십니다.,기파랑문해원 명지원 국어선생님 충원(11-12월 근무시작/주4일),(중고등) 파트 국어선생님 모십니다
기술엔지니어,5,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),612100 기술 영업원,140400 조경 기술자,[외국계 기업] Service Engineer 신입/경력 채용,[상시채용] 중속엔진 Service Team 경력직 모집,2026년 하반기 BWMS 서비스엔지니어 경력/신입 채용
실험,5,,,902900 기타 축산 및 사육 관련 종사원(양봉·감별·동물원사육·실험동물사육 등),,,HACCP관리&실험  (구)선우어묵,인제대학교 의과대학 조교 모집(실험실),"[신입] 일본 대기업 , 차량실험/인증 엔지니어 모집"
기술직,5,,,612100 기술 영업원,140400 조경 기술자,416100 감독 및 기술 감독,DK메디칼솔루션 부산지사 X ray 기술직 채용,현장 전문기술직 상시채용,양산서비스 기아오토큐 하체 기술직 사원모집(주5일근무)
현장관리자,5,,,015102 판매 관리자(소규모 판매점장 제외),015101 영업 관리자(영업소장·지점장),014301 경비 관리자,"[현장관리자] 전문건설(수장,내장)공사관리직  모집",(주)우영이엔지 철골공사현장 관리자를 모십니다,종합병원 인테리어 현장 관리 감독자 모집
인프라,5,,,,,,IT인프라 구축 및 관리 엔지니어 - 고객사 상주근무,[외국계] 데이터센터 전력 인프라 유지보수 엔지니어,에이스원테크놀로지(주) IT 인프라 엔지니어 채용 (부산지사)
구몬선생,4,,,,,,경단녀 탈출/육아 경험이 멋진 스펙이 되는 구몬선생님 모집,동래지국 구몬선생님 급구.,"초기정착금 지원,안정적인 첫걸음. 구몬선생님을 모십니다."
택배기사,4,,,624100 택배원,029600 속기사,416400 촬영기사,[근무차량지원] CJ 생수 택배기사 희망지역근무 초보자환영,[자율출퇴근] CJ 생수 택배기사 희망지역근무 초보자환영,"(주)또하나의가족부산센터  복지용구 소독업무(전동침대,휠체어)"
생산.제조.조립.설비,4,,,871200 떡 제조원,883200 가구 조립원,883101 가구 제조원,철판 벤딩(밴딩) 절곡원 경력직 채용,유압 프레스 관리자 및 기능원 모집,(부산_삼락동) CNC운영 브로치 연삭(환봉형) 작업하실 분을 모십니다.
as,4,,,"029101 일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",,,폭스바겐 해운대 AS (어드바이저),"승강기(엘리베이터) 유지보수, AS - 신입 및 경력사원 모집",제네시스및현대자동차 AS 업무 엔지니어  경력무관 채용(정규직)
약무,4,,,,,,센텀종합병원 약제팀 약무보조 직원 채용,메리놀병원 약제팀 약무보조원 채용 공고,BHS한서병원 약제팀 약무보조 구인
팀원,3,,,,,,부산 기장]  브런치파트  신입/경력직 모집합니다.,노아스로스팅 서면점 베이커리 팀원모집,마트 재고 조사
거래처납품,3,,,624102 배송·납품 운전원(납품영업 포함),,,"[부산,경남] 의료기기 납품 &amp; 재고 관리 경력무관 모집 공고",의료기기 및 소모품 납품 및 서비스 직원 모집 (신입/경력),외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집
전담직원,3,,,"211200 대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)",,,김해국제공항 VIP 의전 서비스 전담직원 모집,부산경상대학교 일학습병행 공동훈련센터 전담직원 채용,김해국제공항 의전 및 컨시어지서비스 전담직원 모집
리셉션,3,,,,,,수영장 안내데스크 [오후 리셉션] 직원 채용,수영장 오후 안내데스크[리셉션] 직원 채용,한성모터스 벤츠 부산북구서비스센터 안내데스크/리셉션 채용 [평일 근무]
한의원,3,,,301300 한의사,011100 의회 의원,,경희한의원 부설 원외탕전실 직원모집,온지한의원 치료실 선생님 구인합니다,심지한의원 데스크 업무 직원 모집
약무보조,3,,,029904 사무 보조원(일반사업체),029903 사무 보조원(공공기관),823302 주조 보조원(견습공),센텀종합병원 약제팀 약무보조 직원 채용,BHS한서병원 약제팀 약무보조 구인,전산+약무보조
2d디자인,3,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,놀이시설물 디자인 경력직 모집,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집
3d디자인,3,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,놀이시설물 디자인 경력직 모집,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집
청능사,3,,,,,,덕천서울아산이비인후과에서 청각사/청능사 선생님 모십니,추교용이비인후과에서 청능사/청각사를 모시고 있어요,청능사/청각사 정규직 채용 공고
청각사,3,,,306800 언어 및 청각능력 재활사,,,덕천서울아산이비인후과에서 청각사/청능사 선생님 모십니,추교용이비인후과에서 청능사/청각사를 모시고 있어요,청능사/청각사 정규직 채용 공고
현장직원,3,,,701901 건설현장반장,140301 토목 현장소장,140201 건축 현장소장,[정규직/신입 지원 가능] 인테리어 현장직원 모집,내선전공 현장직원  (정규직) 채용 공고-신규. 경력가능,[경력무관 ] 성실한 현장직원 정규직 모집합니다
피팅모델,3,,,416200 배우 및 모델,617101 홍보 도우미 및 판촉원(나레이터 모델 포함),,[모엣] 의류 쇼핑몰 피팅모델 상시모집,해외브랜드 여성의류 쇼핑몰 피팅모델 모집,여성의류쇼핑몰 [케이클럽] 피팅모델 프리랜서 모집
시공관리자,3,,,015102 판매 관리자(소규모 판매점장 제외),015101 영업 관리자(영업소장·지점장),014301 경비 관리자,(주)우영이엔지 철골공사현장 관리자를 모십니다,종합병원 인테리어 현장 관리 감독자 모집,주거 인테리어 현장 실장 모집
조경관리,3,,,901500 조경원,901502 식물 관리원,901501 조경 식재원,롯데월드 어드벤처 부산 조경관리 직원(예초기 사용 가능)채용,해운대CC 잔디관리 및 조경관리 직원모집/(주)제임스이엔지,라우어 오시리아 시니어타운 조경관리 직원 모집
잡매니져,3,,,029201 콜센터 매니저,417300 연예인 및 스포츠 매니저,031200 자산 운용가(펀드매니저),본사(아웃소싱) 현장지원팀 관리자(잡매니져) 및 팀원 모집,주식회사 아리오 부산 지사 잡매니져 모집 합니다,본사(아웃소싱) 현장지원관리자(잡매니져) 및 운영팀원 모집
사원급,2,,,512200 혼례 종사원,158302 비파괴 검사원,902100 낙농 관련 종사원,출하관리 담당 팀원(사원급) 채용,아바니센트럴부산 Front Office 채용,
내근직원,2,,,,,,(경력) GA보험대리점 내근직원  채용,(신입 / 내근직 1명 모집) 함께할 내근직원 채용합니다,
에디터,2,,,,,,패션/인플루언서 플랫폼 에디터 상시 채용,[해운대] 패션 / 인플루언서 플랫폼 에디터 상시 채용,
콘텐츠기획,2,,,416800 미디어 콘텐츠 창작자,415500 미디어 콘텐츠 디자이너,133302 웹 기획자,(주)스포라 스마트스토어 운영 프리랜서 채용,[외국계기업/육휴대체] Marketing 경력 채용 공고,
시설팀장,2,,,706001 조경시설물 설치원,541300 시설 및 특수 경비원,"524001 오락시설 서비스원(노래방, PC방 등)",[BS길종합병원] 시설팀장 모집공고,[빌리브 세웅병원] 시설팀장 모집공고,
신입직원,2,,,,,,기장 대게만찬/일등가 홀서비스 채용,2026 부산상공회의소 신입직원 채용,
2027미국j-1글로벌커리어프로그램,2,,,231103 사회복지프로그램 운영자,"133203 범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)","133204 산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",2027 미국 J-1 글로벌 커리어 프로그램   참가자 모집,2027 미국 J-1 글로벌 커리어 프로그램   참가자 모집,
영업.고객상담.판매,2,,,029209 고객 상담원(A/S·고장·제품사용),029208 고객 상담원(인터넷·통신),029207 고객 상담원(백화점·마트),[빠른입사]신세계 부산프리미엄아울렛 안내데스크 사...,GS더프레시 오송센텀점 주말계산사원 모집,
판매.매장관리,2,,,015102 판매 관리자(소규모 판매점장 제외),564200 자동판매기 관리원,015100 영업 및 판매 관련 관리자,[빠른입사]신세계 부산프리미엄아울렛 안내데스크 사...,GS더프레시 오송센텀점 주말계산사원 모집,
관리직원,2,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),어린이수영장 관리직원  모집,인형뽑기방 관리직원 채용합니다.,
f&b,2,,,,,,식음팀 식음서비스 신입직 채용,[해운대 클럽디오아시스] F&B팀 관리자(경력) 채용,
재고관리,2,,,028407 창고 관리원(자재 검수원 포함),901502 식물 관리원,542000 건물 관리원,"[부산,경남] 의료기기 납품 &amp; 재고 관리 경력무관 모집 공고",(주)제이와이코리아 입출고 관리및 관리보조,
운영담당자,2,,,136200 웹 운영자(홈페이지 관리자),136101 정보시스템 운영자,231103 사회복지프로그램 운영자,글로벌 코스메틱&하이앤드 이커머스 운영담당자(AMD) 채용,글로벌 코스메틱 & 하이앤드 브랜드 이커머스 운영담당자(AMD) 채용공고,
스튜디오실장님,2,,,832201 TV·비디오·오디오 설치 및 수리원,,,스튜디오 실장님 모집,스튜디오 실장님 모집공고,
스튜디오실장님모집,2,,,033100 대출 및 신용카드 모집인,613903 상조·렌탈·회원모집 영업원,033200 보험 모집인 및 투자 권유 대행인,스튜디오 실장님 모집,스튜디오 실장님 모집공고,
이츠세일즈,2,,,,,,[쿠팡] 이츠 세일즈 대규모 채용 (계약직/인센티브/성장지원금/정규직전환가능),[쿠팡] 이츠 세일즈 대규모 채용 (계약직/인센티브/성장지원금/정규직전환가능),
ai엔지니어,2,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),,,AI엔지니어 모집,"【JOBHAKU KOREA】일본,주식회사 후지코시_AI엔지니어",
총괄실장,2,,,,,,[밴스의원 남포점] 총괄실장 모집,[일본 법인] 리엔장 클리닉 오사카 신사이바시점 총괄실장 채용,
연구보조,2,,,823302 주조 보조원(견습공),823102 단조 보조원(견습공),822302 제관 보조원(견습공),연구보조인력 구인,연구보조원(기능직) 채용안내,
공부방원장,2,,,,,,부산진구 재능선생님/공부방원장님 모심(주2~3회가능),"[부산 재능스스로교실] 유아,초등 전문 공부방원장님 모집(가맹비&보증금NO",
유통관리,2,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),납품직 모집(경력자대환영/신입환영),(주)제이와이코리아 입출고 관리및 관리보조,
거래처관리,2,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),납품직 모집(경력자대환영/신입환영),외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집,
원장급,2,,,,,,[스칸디그룹] 브레인나우 직영 스튜디오 디렉터(원장급) 채용 (부산),[스칸디그룹]브레인나우 부산지역 직영점 디렉터(원장급) 채용,
배송기사,2,,,029600 속기사,416400 촬영기사,306700 재활공학 기사(의지보조기기사),반여농산물도매시장시장 농협123번 경력 채용 공고,"(주)또하나의가족부산센터  복지용구 소독업무(전동침대,휠체어)",
제조가공,2,,,016305 식품가공 제조 관리자(공장장),871200 떡 제조원,826100 유리 제조 및 가공기 조작원,산업기능요원(보충역) 채용공고,함께 근무하실 분 구합니다.,
농촌재생,2,,,155400 신재생에너지 시험원,155300 신재생에너지 기술자 및 연구원,851102 폐유·재생유 처리 제어장치 조작원,"(주)엔브이(부산)-[공간계획실,역량강화실] 경력직 (팀장)","(주)엔브이(부산 )-[공간계획실, 역량강화실] 경력직 모집(팀장)",
어촌재생,2,,,155400 신재생에너지 시험원,155300 신재생에너지 기술자 및 연구원,851102 폐유·재생유 처리 제어장치 조작원,"(주)엔브이(부산)-[공간계획실,역량강화실] 경력직 (팀장)","(주)엔브이(부산 )-[공간계획실, 역량강화실] 경력직 모집(팀장)",
도시재생,2,,,872300 도시락 제조원,140501 도시 계획·설계가,155400 신재생에너지 시험원,"(주)엔브이(부산)-[공간계획실,역량강화실] 경력직 (팀장)","(주)엔브이(부산 )-[공간계획실, 역량강화실] 경력직 모집(팀장)",
서비스엔지니어,2,,,624201 퀵서비스 배달원,"615302 통신서비스 판매원(인터넷,IPTV 가입)",524002 테마파크 서비스원,[비아이산업] 서비스엔지니어 정규직 모집,2026년 하반기 BWMS 서비스엔지니어 경력/신입 채용,
입출고,2,,,,,,(주)푸드엔 반여시장점 운영팀(입출고) 채용,(주)푸드엔 서면점 운영팀(입출고) 채용,
it엔지니어,2,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),132001 IT 컨설턴트,"612106 IT 기술영업원(전산장비,소프트웨어)","[KOTRA] 일본, Growship, IT엔지니어 경력직 (5명)",일본근무 IT엔지니어 신입(경력)사원 모집합니다.,
입하,2,,,,,,[씨피시스템/코스닥 상장사] 출고파트 채용,미피스토어 부매니져 모집합니다.,
출하,2,,,,,,[씨피시스템/코스닥 상장사] 출고파트 채용,미피스토어 부매니져 모집합니다.,
패션모델,2,,,416200 배우 및 모델,415200 패션 디자이너,617101 홍보 도우미 및 판촉원(나레이터 모델 포함),[모엣] 의류 쇼핑몰 피팅모델 상시모집,여성의류쇼핑몰 [케이클럽] 피팅모델 프리랜서 모집,
자동제어,2,,,817100 자동차 조립원(검사원 포함),812404 자동차 튜닝원,812400 자동차 정비원,Technical team - Application &amp; Support E,부산)관공서·학교 자동제어 프로젝트 관리자(PM/공사관리) 채용,
조경공사,2,,,901500 조경원,901501 조경 식재원,306300 치과기공사,롯데월드 어드벤처 부산 조경관리 직원(예초기 사용 가능)채용,해운대CC 잔디관리 및 조경관리 직원모집/(주)제임스이엔지,
중간관리자,2,,,015102 판매 관리자(소규모 판매점장 제외),015101 영업 관리자(영업소장·지점장),014301 경비 관리자,본사(아웃소싱) 현장지원팀 관리자(잡매니져) 및 팀원 모집,본사(아웃소싱) 현장지원관리자(잡매니져) 및 운영팀원 모집,
게임디자인,2,,,415502 게임 디자이너,214401 디자인·캐드 강사,415501 웹 디자이너,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집,
애니메이션,2,,,414302 만화영화 작가(애니메이터),420501 레크리에이션 전문가,511500 메이크업 아티스트 및 분장사,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집,
캐릭터,2,,,,,,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집,
플래쉬애니메이션,2,,,414302 만화영화 작가(애니메이터),512102 웨딩 플래너,420501 레크리에이션 전문가,[부산][숲속의 작은 마녀]PC/콘솔 2D 게임의 리드 픽셀 아티스트 채용,[부산] 온라인 게임개발자 전분야 모집,
통학차량안전도우미,1,,,563301 가사 도우미,550500 육아 도우미(베이비시터),563302 입주 가사도우미,2026학년도 온천초등학교 통학차량안전도우미 채용 공고,,
통학차량,1,,,622905 호송차량 운전원,704003 레미콘 차량 운전원(콘크리트 믹서 트럭),151107 항공기·철도차량 공학 기술자 및 연구원,2026학년도 온천초등학교 통학차량안전도우미 채용 공고,,
안전도우미,1,,,563301 가사 도우미,550500 육아 도우미(베이비시터),563302 입주 가사도우미,2026학년도 온천초등학교 통학차량안전도우미 채용 공고,,
기능직(장애인),1,,,550400 장애인 돌봄 종사원,232903 장애인 생활지도원(장애인활동보조원 포함),"705902 잠수 기능원(잠수부, 구난 잠수요원)",한국건강관리협회부산동부 기능직(장애인) 구인 공고,,
본공고문은요약본입니다,1,,,,,,(재)부산정보산업진흥원 2026년 4차 계약직 채용 공고,,
출하관리담당팀원(사원급),1,,,513200 반려동물 관리 종사원,564903 기타 서비스 단순종사원(사우나·찜질방 등),028507 품질관리 사무원(건설),출하관리 담당 팀원(사원급) 채용,,
출하관리담당팀원,1,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),출하관리 담당 팀원(사원급) 채용,,
학생운영관리,1,,,136102 네트워크 관리자(클라우딩컴퓨터운영관리자),136200 웹 운영자(홈페이지 관리자),135102 데이터베이스 운영·관리자,[재택 부업 가능] 마이픽잉글리쉬 코칭플래너 모집,,
영어학원,1,,,214101 영어 강사,411205 통역가(영어),411201 번역가(영어),[재택 부업 가능] 마이픽잉글리쉬 코칭플래너 모집,,
학생관리,1,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),[재택 부업 가능] 마이픽잉글리쉬 코칭플래너 모집,,
주얼리세일즈,1,,,,,,[격주4일] 아크레도 부산점 주얼리 세일즈 확장 충원모집,,
ai(인공지능),1,,,"614005 텔레마케터(인터넷, 통신)",029208 고객 상담원(인터넷·통신),"615302 통신서비스 판매원(인터넷,IPTV 가입)",[K-뉴딜] CJ올리브네트웍스 L.L.M. 아카데미,,
aix,1,,,,,,[K-뉴딜] CJ올리브네트웍스 L.L.M. 아카데미,,
ajax,1,,,133201 JAVA 프로그래밍 언어 전문가,,,[K-뉴딜] CJ올리브네트웍스 L.L.M. 아카데미,,
전산회계,1,,,023100 회계사,027103 회계 사무원(일반 사업체),027102 회계 사무원(회계·세무 사무소),[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,,
관리회계,1,,,023100 회계사,901502 식물 관리원,542000 건물 관리원,[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,,
급여(payroll),1,,,832903 포스시스템 설치·수리원(POS 설치 및 수리원),,,[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,,
급여,1,,,,,,[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,,
기업회계,1,,,023100 회계사,027103 회계 사무원(일반 사업체),027102 회계 사무원(회계·세무 사무소),[반얀트리 부산 해운대] 각 분야별 신입 및 경력직 공개 채용,,
블로그마케팅,1,,,024102 마케팅 전문가,026200 영업 및 마케팅 사무원,012300 마케팅 및 광고‧홍보 관리자(부서장),(주)스포라 스마트스토어 운영 프리랜서 채용,,
검색광고,1,,,415401 광고디자이너,613901 광고·출판 영업원,024101 광고·홍보 전문가,(주)스포라 스마트스토어 운영 프리랜서 채용,,
채널관리,1,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),(주)스포라 스마트스토어 운영 프리랜서 채용,,
키워드광고,1,,,415401 광고디자이너,613901 광고·출판 영업원,024101 광고·홍보 전문가,(주)스포라 스마트스토어 운영 프리랜서 채용,,
해썹haccp컨설팅방문담당자,1,,,132001 IT 컨설턴트,564500 대여 제품 방문 점검원,611000 부동산 컨설턴트 및 중개사,해썹 HACCP 컨설팅 방문 담당자 채용,,
해썹haccp컨설팅방문,1,,,132001 IT 컨설턴트,564500 대여 제품 방문 점검원,611000 부동산 컨설턴트 및 중개사,해썹 HACCP 컨설팅 방문 담당자 채용,,
상수도관망관리,1,,,016200 전기·가스 및 수도 관련 관리자(부서장),013300 법률‧경찰‧소방 및 교도 관리자,901502 식물 관리원,(주)서용엔지니어링-2026년 관망관리 인원 채용(부산),,
주요업무,1,,,,,,각 부문별 신입/경력 채용,,
레이저가공,1,,,813212 레이저 절단원,"705102 석재 가공원(석재 절단, 연마, 조각원 등)",024302 머천다이저(MD),레이저오퍼레이터,,
철거해체공사현장관리자,1,,,542003 공사현장 경비원,015102 판매 관리자(소규모 판매점장 제외),015101 영업 관리자(영업소장·지점장),건설 철거 해체 현장 관리자 공고 채용(경력필수),,
금융권생성형ai플랫폼구축ta,1,,,"032900 기타 금융 사무원(카드사·신협·새마을금고·할부사, 우체국(금융부문) 등)",028106 FTA 관리 사무원,012400 금융 및 보험 관리자(부서장),"금융사 생성형 AI 플랫폼 구축 TA (부산, 8MM)",,
철강제품입출고및샤링절단보조,1,,,824103 화염절단원,823302 주조 보조원(견습공),823102 단조 보조원(견습공),철판 상하차 및 철판 절단 직원 모집,,
조제보조전산,1,,,823302 주조 보조원(견습공),823102 단조 보조원(견습공),822302 제관 보조원(견습공),조제보조  전산 경력무관 모집(정규직),,
의료기기거래처납품,1,,,832904 의료기기·장비 설치·수리원,153304 전자의료기기 개발 기술자 및 연구원,306900 기타 치료·재활사 및 의료기사,[(주)메디칼써프라이] 의료기기 거래처 납품 직원 모집,,
신한라이프,1,,,,,,파란손해사정(주) 신한라이프 접수정보입력 팀장 채용 (부산),,
sns,1,,,,,,어린이수영장 관리직원  모집,,
f&b경력직,1,,,,,,[해운대 클럽디오아시스] F&B팀 관리자(경력) 채용,,
백엔드중심productengineer,1,,,215102 교재·교구 및 e-learning 교육 전문가,813210 머시닝센터(MCT) 조작원,"133203 범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 ,,
영업직_서울강남,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 ,,
영업직_부산센텀시티,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 ,,
백엔드,1,,,,,,킨코스코리아㈜ 백엔드 중심 Product Engineer / 법인영업팀 영업직 ,,
