공고URL,직종코드,담당업무,직종,직무키워드,학력,경력,급여,근무형태,상세주소,모집인원,수집시각
https://www.jobkorea.co.kr/Recruit/GI_Read/5617268/Ext?siteCode=WN&sc=,231101,"노인요양원 사회복지사 어르신 및 보호자 수시 및 정기상담 (상담일지 기록) 어르신 케어 서비스계획수립(욕구조사, 타부서 욕구조사(인지기능,낙상위험,욕창위험,간호/물리/영양사정 취합) 어르신 케어 서비스평가(서비스계획에 의해) 인수인계회의 참관 및 기록 노인요양원 프로그램 계획 및 실행 (신체/인지/작업 프로그램) 연간 법정이행 교육 수립 및 실시 (교육일지 작성) 그외 행정 켬퓨터 작업능력(한글/엑셀) 필수",사회복지사(사회복지시설),"사회복지사(사회복지시설, 노인복지시설, 장애인복지시설 등)",학력무관,경력,월급 232만원 ~ 238만원,고용형태,"부산광역시 동래구 시실로107번가길 23, 늘봄실버요양센터 (명장동)",1명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5617269/Ext?siteCode=WN&sc=,027200,"거래처 전화응대 , 거래명세서 , 세금계산서 발행 및 그외 모든 영업사무 지원(수습 6개월, 급여 동일) 식대포함",경리 사무원,-,학력무관,관계없음,월급 220만원 이상,고용형태,"부산광역시 강서구 미음산단로 255, 1층 사무실 (미음동)",1명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5617270/Ext?siteCode=WN&sc=,624501,"- 단순노무(호이스트 상하차포함) - 경력자 우대, 신입가능 - 세아제강 대리점. 파이프제품 상하차포함 단순노무 현장직 분을 모집합니다. *수습 6개월 / 급여는 정상급여 / 식대포함",하역·적재 종사원,상하차원,학력무관,관계없음,월급 250만원 이상,고용형태,"부산광역시 강서구 미음산단로 255, 1층 사무실 (미음동)",1명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5616529/Ext?siteCode=WN&sc=,817200,- 가공업무(TAPP'G M/C 및 CNC 선반가공),자동차 부품 조립원(검사원 포함),자동차 부분품 조립원,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 기장군 정관읍 곰내길 591-42 0, (주)명진테크",2명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5616528/Ext?siteCode=WN&sc=,623004,[모집직무] 완제품 PLT 상하차 업무 [직무소개] 저희 회사는 자동차 부품들을 생산하고 있습니다. 본 근무자는 제품PLT를 안전하고 효율적으로 지게차를 사용하여 납품차량 상하차 작업을 수행하게 됩니다. [주요업무] - PLT 지게차를 이용하여 제품을 적재 및 운반 - 제품의 손상 방지 및 안전 운반 - 재고 정리 - 지정된 작업 일정을 준수 - 작업장의 안전 규칙 준수,지게차 운전원,지게차운전원,학력무관,신입,"시급 10,320원 이상",고용형태,"부산광역시 기장군 정관읍 농공길 2-9, 씨닉스텍",1명,2026-09-08 20:57:52
https://www.jobkorea.co.kr/Recruit/GI_Read/5616624/Ext?siteCode=WN&sc=,564903,"[모집직무] 사우나 관리, 시설 관리, 청소 및 환경 관리, 고객 서비스, 안전 관리 [직무소개] 우리 회사는 목욕탕이 포함된 스포츠센터를 운영하고 있습니다. 본 직무는 남자 사우나 내 탈의실과 탕을 관리하는 책임을 맡으시는 역할입니다. 경력이 없어도 됩니다. [주요업무] - 남자 사우나 탈의실 청소 및 정리 정돈 - 남자 사우나 탕 정리 정돈 및 관리 - 사우나 시설 및 환경 관리 - 사우나 안전 관리 - 고객 안내 및 응대 주4일(월~목)","기타 서비스 단순종사원(사우나,찜질방 정리원 등)",헬스탈의실보관원,학력무관,관계없음,"시급 11,500원 ~ 11,500원",고용형태,부산광역시 금정구 구서중앙로15번길 20 (구서동),1명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5616633/Ext?siteCode=WN&sc=,550100,"▶직무내용: 5등급 남자어르신 ▶근무시간: (오전) 07:00 ~ 10:00 (180분) / 주5일 근무 / 월 21회 근무 ▶급여조건: 시급 10,320원(수당 별도) ▶기타사항: 요양보호사 자격증 필수, 치매교육이수 필수",요양보호사,-,학력무관,관계없음,"시급 10,320원 ~ 13,000원",고용형태,부산광역시 기장군 기장읍 차성로397번길 7 (기장교리주공아파트),1명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5616743/Ext?siteCode=WN&sc=,706000,"[건설현장 스터드 볼트 작업자 채용] -직무: 건물테크시공시 스터드 볼트 시공 -근무시간: 주5일, 하루 8시간 (근무시간 협의) -급여: 입사 첫달 일급 19만원 (식대 및 각종수당 별도) -수습기간 1개월, 경력자 급여 협의가능(경력자 28만원) -운전면허 필수, 경력있으신분 우대 -금정구 서동역에서 현장으로 출발(인근거주자 필수) *업무특성상 건설현장 상황에 따라 근무지 및 근무시간 변동",건설 및 광업 단순 종사원,-,학력무관,경력,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 금정구 오륜대로118번길 7, 인근 (오륜동)",1명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5616744/Ext?siteCode=WN&sc=,890006,"[정관읍] 제빵생산 보조 및 포장 -제빵(호빵) 생산 보조 및 포장작업 -주야 2교대 근무 (주간 08:00 ~ 20:00 / 야간 20:00~ 익일 08:00) -주5일 / 토요일 근무 있을 수 있음 -1식제공, 통근버스(해운대/ 금정구/ 동래구/ 기장 ) (주)에스와이제이 -전화 후 방문접수 (이력서 제출) -문의 : 051-508-2783",식품 분야 단순 종사원,-,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 기장군 정관읍 산단2로 11, .",3명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5616977/Ext?siteCode=WN&sc=,028402,"→주요업무내용 - 구매업무 - 자재관리 - 협력사 납기관리 - 전산 입고관리 - 구매원가 종합 및 관리 ** 3개월 수습 후 정규직 전환 검토. 단, 수습기간 동안 급여는 100% 지급.** 우대사항 - 2년이상 유사계통 경력 - ERP 시스템 유경험자 - 운전면허 소지자(실제 운전 가능한자) →근무시간 - 월~금 : 08:00~17:00(8H) - 월,화,목 : 17:30~19:30(2H) - 월 1회 토요일 당직 (08:00~17:00 8H) →휴게시간 - 월~금(월 1회 토요일 당직) : 12:00~13:00 - 월,화,목 : 17:00~17:30 →식사제공 - 중식 / 석식(월,화,목) - 월 1회 토요일 당직 → 연봉 36,000,000원~50,000,000원 ( 주40시간 초과업무, 당직비 포함) → 성과급 - 대상자는 1년 이상 근속자에 한함 - 연 2회 고과에 따라 기본급의 40%~100%/회 차등 지급",자재·구매 사무원(기계·자동차·금속),기계·자동차부품구매사무원,학력무관,경력,"연봉 3,600만원 ~ 5,000만원",고용형태,"부산광역시 사상구 낙동대로1330번길 41, (주)카디넥 (삼락동, 극동산업)",1명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5617024/Ext?siteCode=WN&sc=,158100,"부산 개금동에 위치한 제일소방(주)입니다. 사세 확장을 위해 함께 근무할 소방 점검 팀원을 채용 중에 있습니다. 많은 분들의 관심과 지원 부탁드립니다. 1. 모집분야 : 점검팀원 2명 2. 월급여 조건 - 점검 팀원 : 경력무관하나 경력에 따라 차등지급 3. 근무환경 - 근 무 지 : 부산 및 경남 - 근무시간 : 주5일, 08:30 ~ 17:30 (점검처 현장에서 출, 퇴근 가능) - 복리후생 : 4대보험, 중식, 명절 및 하계휴가비, 유니폼 등 필요 소모 물품 지급 4. 지원방법 - 접수기간 : 2026년 09월 08일(화) ~ - 제출서류 : 이력서(자유양식) - 지원자격 : 소방관련 자격증 소지자 필수 (소방 점검자 경력수첩, 위험물기능사 등 소지자) (소방설비산업기사 또는 소방설비기사 소지자)",소방공학 기술자 및 연구원,-,학력무관,관계없음,"연봉 2,600만원 ~ 3,200만원",고용형태,"부산광역시 부산진구 가야대로408번길 24, 2층 (개금동)",2명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5617125/Ext?siteCode=WN&sc=,027200,"경리사무원 전산회계프로그램 사용가능자 4대보험 업무,전표정리,급여관리,매입매출경리등 기타 사무보조 *지원방법: 고용24 입사지원 **지원시 메일 제목: <(주)혜영수산 경리사무원 지원자 OOO입니다.>필히 작성 요망! ※구직활동만을 위한 형식적인 지원자는 사양합니다. 실제 근무가능하신 분만 지원 바랍니다.",경리 사무원,경리장부정리원,학력무관,경력,월급 250만원 이상,고용형태,"부산광역시 중구 동광동2가 광복로97번길 18, 902호 (동광동2가)",2명,2026-09-08 20:57:53
https://www.jobkorea.co.kr/Recruit/GI_Read/5616519/Ext?siteCode=WN&sc=,564300,"부산남구시니어클럽에서는 2026년 공영차고지관리 노인일자리사업에 참여하실 참여자를 아래와 같이 채용하고자 합니다. ● 참여대상 : 60세 이상 부산시민 ● 모집인원 : 주차관리(1명) ● 주요업무 1) 주차장 입출차 관리 및 요금정산 2) 정기권 차량 및 고객관리 3) 주차장 내외부 환경정비 및 순찰 4) 주차장 시설 정비 및 보수 ● 근무장소 1) 회동화물공영차고지(부산광역시 금정구 개좌로 408) ● 근무일수 및 시간 1) 회동화물공영차고지 * 근무일정 및 시간 - 주간, 야간, 휴무, 휴무 / 2일 근무, 2일 휴무 - 주간 근무: 07:00~19:00(9시간 근무, 3시간 휴게) - 야간 근무: 19:00~익일07:00(9시간 근무, 3시간 휴게) * 근무시간 등은 운영 환경에 따라 상호 협의하여 변경할 수 있음. 건강등의 사유로 휴무일과 근무일을 교대할 수 있음. * 야간근무자 특성상, 특수건강검진 필수 ● 계약기간 : 2026년 10월 1일 ~ 2026년 12월 31일 (3개월(※퇴직금 미적립)) (* 년단위 공모사업에 따라 2027년 계약변동가능 있음) ● 급여기준 1) 화물차고지 주차관리원 시급: 10,320원 ● 제출방법 : 방문제출 ● 필수 제출서류 1) 이력서 및 자기소개서(기관양식) 2) 주민등록등본(최종합격자 한) 3) 증명사진 4) 기관양식 신청서 및 개인정보 동의서 * 4번서류 기관홈페이지에서 내려받을 수 있습니다.(http://www.bsngsc.or.kr) * 이력서 작성시 지원분야 명시 필수● 선택 제출서류 1) 장애인복지카드 또는 국가유공자증(해당자), 관련 자격증 사본(해당자) 2) 경력증명서(해당자) ● 자격요건 1) 건강보험 직장가입자가 아닌 자 2) 60세 이상자로 주소지가 부산이며 사회활동 참여에 무리가 없는 자 ● 우대사항 1) 관련 업무 경력자 2) 주차관련 자격증 소지자 ● 접 수 처: 부산광역시 남구 신선로 428 동명대학교 내 11호관 124호 부산남구시니어클럽 ● 면접일정 : 2026년 9월 23일(수) 서류합격자 중 개별안내 * 기관사정에 따라 변경될 수 있음 * 서류 불합격자 별도 안내연락 하지 않음 ● 임용일자 : 2026년 10월 1일(목) ● 접수기간 : 2026년 9월 7일(월) ~ 9월 21일(월) 12:00까지 ● 문 의 : 김명훈 담당자 (051-623-6090)",주차 관리원 및 안내원,주차장관리원,학력무관,관계없음,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 금정구 개좌로 408, 화물공영차고지 (회동동)",1명,2026-09-08 20:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/5616613/Ext?siteCode=WN&sc=,550100,"[문현동]요양보호사 - 4등급 79세 여자어르신, 독거 - 재가요양보호사 업무(식사준비,청소 등) - 주2회(월,수) 오전 8시~11시 (3시간) - 시급 : 10,320원 +주휴,연차수당 > 13,000원 - 문현역 1번출구 앞",요양보호사,-,학력무관,관계없음,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 남구 전포대로 19 (문현동, 동천맨션)",1명,2026-09-08 20:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/5616607/Ext?siteCode=WN&sc=,890000,"생산단순노무 및 유리가공 월-금요일 (오전) 08시 ~ (오후) 18시 00분 토요일 (오전) 08시~(오후) 15시00분 시급: 10,320원 고용24 입사지원",기타 제조 관련 단순 종사원,권선공,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 사상구 사상로 429, 1층 (모라동)",2명,2026-09-08 20:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/5617271/Ext?siteCode=WN&sc=,813203,문형타입 CNC 밀링가공전문기업(AL가공),CNC 밀링기 조작원(NC 밀링기 조작원),평삭밀링기조작원,학력무관,경력,월급 280만원 ~ 350만원,고용형태,"부산광역시 강서구 신덕길2번길 86, 진테크 (대저1동)",1명,2026-09-08 20:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/5616627/Ext?siteCode=WN&sc=,890000,"반도체 부품 조립, 연마, 세정",기타 제조 관련 단순 종사원,-,학력무관,관계없음,"시급 10,320원 이상",고용형태,부산광역시 강서구 화전산단2로 69-12 (화전동),5명,2026-09-08 20:57:54
https://www.jobkorea.co.kr/Recruit/GI_Read/5616628/Ext?siteCode=WN&sc=,813201,15인치 선반 작업자 구인합니다. MEGA100도 사용해보신 분이면 좋을거같습니다.,CNC 선반 조작원(NC 선반 조작원),CNC선반기능원,학력무관,경력,"시급 15,000원 ~ 22,000원",고용형태,부산광역시 강서구 대저중앙로 224 (대저1동),1명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5616746/Ext?siteCode=WN&sc=,550100,"[망미동]재가요양보호사 - 4등급 84세 여자어르신 - 배우자 함께 거주 - 주5일, 9:30~12:30(3시간) - 일상생활지원, 병원동행 - 시급 및 제세수당 13000원 - 연산선경아파트/망미주공 아파트 인근 빌라",요양보호사,-,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 수영구 망미번영로85번나길 40 (망미동, 진성빌라)",1명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5616848/Ext?siteCode=WN&sc=,561101,병원바닥 및 화장실 청소 정리정돈 오전7시~9시 또는 오후 6시30~8시30분 시간 협의 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",병원청소원,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 남구 용호로 127 (용호동, 서현빌딩)",1명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5616968/Ext?siteCode=WN&sc=,028508,"선박 구성 부분품 제조업체로서 조선기자재인 STRAINER 및 AIR RESERVOIR, REDUCING PIECE 등의 품질관리 및 선급 검사, WPS 승인 직원을 모집합니다.. 급여조건 : 연봉 협의 선급진행관련 경력자 우대",품질관리 사무원(기계·자동차·금속),-,학력무관,경력,"연봉 4,000만원 ~ 4,500만원",고용형태,부산광역시 강서구 미음산단3로 92 (주)세양하이테크),1명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5616970/Ext?siteCode=WN&sc=,110200,"※ 채용분야별·채용인원별 채용기간이 상이하오니 세부 채용기간은 붙임 공고문을 확인하여 주시기 바랍니다. <연구직 원급(4급 상당), 계약직> ◦ 주요업무 : 성평등·가족 정책연구 및 사업 ◦ 응시자격 - 해당분야 박사학위 소지자 - 해당분야 석사학위 취득 후 해당분야에서 5년 이상 재직 경력자 - 위 각항과 동등한 자격과 경력이 있다고 인정되는 자 ※ 경력은 상시 근무한 경우만 인정함 ※ 해당분야 : 여성학, 아동학, 가족학, 청소년(지도)학, 사회복지학, 교육학, 사회학, 행정학 등 인문·사회과학 분야 <위촉연구원(기간제 근로자)> ◦ 주요업무 : 정책연구 및 교육사업 지원, 기타 재단이 정하는 업무 ◦ 응시자격 - 해당분야 석사학위 취득 후 관련 분야 연구경력자 - 위 각항과 동등한 자격과 경력이 있다고 인정되는 자 ※ 경력은 상시 근무한 경우만 인정함 ※ 해당분야 : 여성학, 아동학, 가족학, 청소년(지도)학, 사회복지학, 교육학, 사회학, 행정학 등 인문·사회과학 분야",사회과학 연구원,사회학연구원,학력무관,관계없음,"연봉 3,000만원 이상",고용형태,"부산광역시 북구 효열로 256, 부산여성가족과 평생교육진흥원 (금곡동)",3명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5616971/Ext?siteCode=WN&sc=,624500,"컨테이너 하역(타이어) 창고정리 및 출고건 상하차 업무 퀵,택배 출고 업무 *운전면허 필수입니다.",하역 및 적재 단순 종사원,-,학력무관,신입,"연봉 3,200만원 ~ 3,200만원",고용형태,부산광역시 동래구 온천천로531번길 19 (안락동),1명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5617030/Ext?siteCode=WN&sc=,159103,"- 2D Auto cad나 3D 모델링 가능자 - 프레스 금형 설계(가전 및 자동차) - 경력 2년 이상 (신입도 지원가능) - 임금 : 연봉 4,000만원(신입은 임금 협의)",기계·금속 제도사(캐드원),금속캐드원,학력무관,경력,"연봉 4,000만원 ~ 4,000만원",고용형태,"부산광역시 사상구 농산물시장로26번길 8, . (엄궁동)",2명,2026-09-08 20:57:55
https://www.jobkorea.co.kr/Recruit/GI_Read/5617031/Ext?siteCode=WN&sc=,813210,"* 프레스 금형 가공 - 가전프레스 금형가공자 - 2D, 3D 가능자 - 경력 2년 이상",머시닝센터(MCT) 조작원,-,학력무관,경력,"연봉 5,000만원 ~ 5,000만원",고용형태,"부산광역시 사상구 농산물시장로26번길 8, . (엄궁동)",1명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5617103/Ext?siteCode=WN&sc=,561101,"=============== **사상구청 채용대행** =============== *감만동 현대1차아파트 - 아파트 단지내 미화 - 주6일/ 평일 09:00~15:30(휴게 1시간), 토요일 09:00~12:00 - 임금 1,614360원 * 담당자와 통화 후 면접시간, 안내 받으시길 바랍니다. * 채용담당자 051-310-5195","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",-,학력무관,관계없음,월급 161만원 ~ 161만원,고용형태,"부산광역시 남구 우암로2번길 5, . (감만동, 감만 현대1차아파트)",1명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5616618/Ext?siteCode=WN&sc=,232903,"장애인활동지원사 구인 (장애인활동지원사 교육 이수증 필수) - 바우처 시간 : 120시간 - 근무 시간 : 월~금 13:00~(마치는 시간 협의) - 장애유형 : 60살 남자 지적장애 - 근무 내용 : 가사활동 * 간단한 밑반찬 만들기, 청소, 빨래 * 어머니와 함께 거주중 -2026년 시급 : 최저임금 10,320원 + 법정제수당 문의사항 051-900-2163 박신애",장애인 생활지도원(장애인활동보조원 포함),장애인활동지원사,학력무관,관계없음,"시급 10,320원 이상",고용형태,"부산광역시 금정구 두실로37번길 72-1, 35 (구서동)",1명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5617127/Ext?siteCode=WN&sc=,531200,"장례식장 빈소에 올라가는 음식 조리 및 배달 조리사 자격증 없어도 가능 오전, 오후 격주로 교대근무",한식 조리사,-,학력무관,관계없음,월급 250만원 ~ 280만원,고용형태,"부산광역시 부산진구 자유평화로 31, (주)시민장례식장 (범천동)",1명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5617275/Ext?siteCode=WN&sc=,813203,"[모집직무] CNC 밀링기 조작원(NC 밀링기 조작원), 머시닝센터(MCT) 조작원, CNC 선반 조작원(NC 선반 조작원) [직무소개] 우리 회사는 풍력 에너지 산업의 선두주자로서 풍력 터빈 메인샤프트 정밀 가공을 수행하고 있습니다. 본 직무는 CNC 밀링 기계 및 선반 기계를 활용하여 고품질의 풍력 에너지 부품을 제작하는데 중요한 역할을 담당합니다. [주요업무] - CNC 밀링기 및 선반 기계를 이용한 정밀 가공 작업 - 제작 도면 및 작업 지침에 따라 정확하게 작업 수행 - 가공 중 발생하는 문제점을 해결하고 작업 효율성을 높임 - 기계 유지보수 및 관리 - 안전 및 품질 관리 규정 준수",CNC 밀링기 조작원(NC 밀링기 조작원),-,학력무관,경력,월급 230만원 ~ 250만원,고용형태,"부산광역시 강서구 미음산단로76번길 6, 1층 (구랑동)",3명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5617276/Ext?siteCode=WN&sc=,890000,"도금업무 [도금 > 도금액 관리] 도금액 종류별 유지 관리하기,도금액 분석하기,도금전 용액상태 점검하기 [도금 > 도금작업 준비] 도금 설비 점검하기,도금액 관리하기 [도금 > 도금작업] 도금 작업하기,공정검사하기",기타 제조 관련 단순 종사원,-,학력무관,신입,월급 215만원 ~ 220만원,고용형태,부산광역시 강서구 녹산산단261로 25 (송정동),1명,2026-09-08 20:57:56
https://www.jobkorea.co.kr/Recruit/GI_Read/5616520/Ext?siteCode=WN&sc=,542001,"다대푸르지오 경비원(신임교육이수증 필수) 근무시간 : 격일제 근무 06:30~익일06:30 휴게시간: 주간 3.5시간, 야간 5시간 이력서 상단에 아파트명(다대푸르지오 아파트)기재 후 접수 바랍니다.",아파트·빌라 경비원,아파트경비원,학력무관,경력,"시급 10,320원 ~ 10,320원",고용형태,"부산광역시 사하구 윤공단로 123, 관리사무소 (다대동, 부산다대푸르지오)",1명,2026-09-08 20:57:56
