규칙ID,제목·토큰조건,업종조건,제외조건,직종코드,근거,적용건수
FIX-기계업종,엔지니어|프로젝트엔지니어,기계·설비·자동차|조선·항공·우주|액체 여과기|기타제조업|금속·재료·철강·요업|시설관리·경비·용역,,81,«엔지니어» + 기계·조선 업종 — 기계장비 설치·정비. 중분류 81까지만,1
FIX-필드,필드서비스 엔지니어|서비스엔지니어|기술엔지니어,,,81,«필드/서비스 엔지니어» — 장비 설치·정비. 중분류 81까지만,1
POS-부동산,부동산,,,611000,부동산중개업 «실장·팀장» — 부동산 컨설턴트 및 중개사,2
POS-메이크업,메이크업,,,511500,«웨딩드레스샵 메이크업 실장» — 메이크업 아티스트 및 분장사,1
POS-스튜디오,스튜디오|포토그래퍼,,,414200,«스튜디오 실장» + 포토그래퍼 모집 — 사진기자 및 사진사,3
POS-장례,상례실장|장례,,,512300,«장례식장 상례실장» — 장례 상담원 및 장례 지도사,1
POS-인테현장,인테리어 현장 ?실장,,,016900,«인테리어 현장실장» — 현장 시공 관리자. 고용24 정답에서 «현장관리자» 는 016900·014302 처럼 관리자로 붙는다(기술자 140203 아님),2
POS-시설팀장,시설팀장,,,013903,«시설팀장» — 건물 시설관리 책임자 = 빌딩 관리소장,2
POS-보험팀장,손해보험 팀장,,,033200,«손해보험 팀장» — 보험 모집인 및 투자 권유 대행인,1
POS-GA내근,GA보험대리점,,,032300,«GA보험대리점 내근직원» — 보험 심사원 및 사무원,1
POS-입력,접수정보입력,,,029501,«접수정보입력 팀장» — 전산자료 입력원(DB·단순자료),1
POS-법률,개인회생|개인파산,,,222001,«개인회생·개인파산 팀장» — 법률 사무원(법무사무소),1
POS-수영장,수영장.*(팀장|관리자),,,014102,«수영장 팀장(관리자)» — 스포츠 관리자,1
POS-골프,골프장 운영팀장|GC 운영관리|베이사이드,,,014100,«골프장 운영팀장» — 숙박·여행·오락 및 스포츠 관련 관리자,2
POS-영어,영어 전임,,,214101,«영어 전임 고등부 팀장급» — 영어 강사,1
POS-취업,국민취업지원제도,,,231400,«국민취업지원제도 총괄팀장» — 직업 관련 상담사. 고용24 정답 3건이 모두 231400 이다(취업 알선원 029212 아님),1
POS-상조,상조 운영,,,613903,«상조 운영 팀장» — 상조·렌탈·회원모집 영업원,1
POS-디자인팀,디자인팀,방송,,41,«디자인팀 팀장» + 방송 업종 — 디자인직. 중분류 41까지만,1
POS-인테디자인,인테리어 디자인,,,415300,«인테리어 디자인 팀장» — 실내장식 디자이너,1
POS-도시재생,도시재생|공간계획실,,,140501,«공간계획실 팀장» + 도시·농촌재생 — 도시 계획·설계가,2
POS-포워딩,포워딩,,,028408,«포워딩 팀장» — 물류 사무원(물류 관리사),1
POS-정육,정육팀장,,,872102,«정육팀장» — 정육원,1
POS-농산팀,농산팀,,,615100,«마트 농산팀 팀장» — 소규모 상점 경영 및 일선 관리 종사원(매장매니저),1
POS-EHS,EHS,,,158400,«EHS팀 팀장» = Environment·Health·Safety — 산업안전 및 산업위험 관리 기술자,1
POS-어메니티,어메니티,,,561102,«레지던스 어메니티 팀장» — 호텔·콘도·숙박시설 청소원(하우스키핑),1
POS-오로시,오로시,,,531500,«활어 오로시 담당자» — 활어 손질 = 일식 조리사,1
POS-관리팀,관리팀장|관리부|운영지원팀,,,026501,«관리팀장·운영지원팀장» — 총무 및 일반 사무원,3
FLD-인테리어,인테리어 현장직원,,,701603,«인테리어 현장직원» — 내장 목공(인테리어 목공),1
FLD-내선전공,내선전공,,,831201,«내선전공 현장직원» — 내선 전기공(건물 내 전기공사원),1
MGR-잡매니져,잡매니져,,,013904,«잡매니져» — 아웃소싱 현장 인력관리 = 인력공급·알선 관리자,3
MGR-매장,부매니져|샵마스터,,,615100,«매장 부매니져 / 샵마스터» — 소규모 상점 경영 및 일선 관리 종사원,2
MGR-홀,홀파트 매니져|홀서비스|홀 ,,,532202,«홀 서비스·홀파트 매니져» — 일반 음식점 접객서빙원,2
F&B-브런치,브런치,,,532202,«브런치파트» — 일반 음식점 접객서빙원,1
F&B-베이커리,베이커리,,,871100,«베이커리 팀원» — 제과원 및 제빵사,1
STF-훈련센터,공동훈련센터|일학습병행,,,026400,«공동훈련센터 전담직원» — 교육 및 훈련 사무원,1
STF-상의,상공회의소,,,026505,«상공회의소 신입직원» — 협회·회원단체 사무원,1
STF-의전,의전,,,029104,«공항 VIP 의전·컨시어지 전담직원» — 데스크 안내원,2
STF-AMD,운영담당자|AMD,,,024301,«이커머스 운영담당자(AMD)» = Assistant Merchandiser — 상품 기획자,2
STF-재고,재고 조사,,,617901,«마트 재고 조사» — 매장 정리원(매장 보조원),1
