공고ID,직종코드,메모
KR2026090700018623,026501,수작업 — 총무 및 일반 사무원
KR2026090700018695,617901,수작업 — 매장 정리원(매장 보조원)
KR2026090700018739,701900,수작업 — 기타 건설 관련 기능 종사원
KR2026090700018792,420400,수작업 — 스포츠 강사 및 트레이너
KR2026090700018801,420403,수작업 — 헬스 트레이너
KR2026090700018829,6,수작업 — 상위 6자리
KR2026090700018830,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700018832,029204,수작업 — 고객 상담원(금융·보험·부동산)
KR2026090700019003,026100,수작업 — 경영 기획 사무원
KR2026090700019031,222001,"수작업 — 법률 사무원(법원, 로펌, 법무사무소 등)"
KR2026090700019081,029204,수작업 — 고객 상담원(금융·보험·부동산)
KR2026090700019161,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700019376,541301,수작업 — 기계·무인 경비원(해당 경비지도사 포함)
KR2026090700019383,214202,수작업 — 수학 강사
KR2026090700019408,2142,수작업 — 상위 2142자리
KR2026090700019573,029104,수작업 — 데스크 안내원
KR2026090700019599,022100,"수작업 — 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)"
KR2026090700019796,028201,수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700019856,121200,수작업 — 자연과학 시험원
KR2026090700019979,032300,수작업 — 보험 심사원 및 사무원
KR2026090700020012,550102,수작업 — 재가 요양보호사
KR2026090700020071,550102,수작업 — 재가 요양보호사
KR2026090700020135,232200,수작업 — 보육 관련 시설 돌봄 종사원
KR2026090700020284,6,수작업 — 상위 6자리
KR2026090700020292,624500,수작업 — 하역 및 적재 단순 종사원
KR2026090700020317,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700020432,029104,수작업 — 데스크 안내원
KR2026090700020459,214400,수작업 — 기술 및 기능계 강사
KR2026090700020466,415400,수작업 — 시각 디자이너
KR2026090700020468,027100,수작업 — 회계 사무원
KR2026090700020473,701900,수작업 — 기타 건설 관련 기능 종사원
KR2026090700020476,624500,수작업 — 하역 및 적재 단순 종사원
KR2026090700020496,027100,수작업 — 회계 사무원
KR2026090700020651,032300,수작업 — 보험 심사원 및 사무원
KR2026090700020690,029210,수작업 — 병원 코디네이터
KR2026090700020915,622300,수작업 — 화물차 및 특수차 운전원
KR2026090700020932,702900,수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700021004,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021033,6,수작업 — 상위 6자리
KR2026090700021077,026504,수작업 — 대학 행정조교
KR2026090700021138,214400,수작업 — 기술 및 기능계 강사
KR2026090700021347,511400,수작업 — 피부 및 체형 관리사
KR2026090700021451,307500,수작업 — 간호조무사
KR2026090700021479,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021554,611000,수작업 — 부동산 컨설턴트 및 중개사
KR2026090700021675,871100,수작업 — 제과원 및 제빵사
KR2026090700021698,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021713,834002,수작업 — 빌딩 전기관리원
KR2026090700021728,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021764,904100,수작업 — 양식원
KR2026090700021883,5,수작업 — 상위 5자리
KR2026090700021910,029101,"수작업 — 일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)"
KR2026090700021929,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700021957,561102,"수작업 — 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
KR2026090700021988,032300,수작업 — 보험 심사원 및 사무원
KR2026090700022059,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700022086,029104,수작업 — 데스크 안내원
KR2026090700022210,532300,수작업 — 주방 보조원
KR2026090700022212,155700,수작업 — 산업보건 및 산업환경 관리 기술자
KR2026090700022441,133206,수작업 — 게임 프로그래머
KR2026090700022483,029104,수작업 — 데스크 안내원
KR2026090700022552,617901,수작업 — 매장 정리원(매장 보조원)
KR2026090700022586,032300,수작업 — 보험 심사원 및 사무원
KR2026090700022610,026200,수작업 — 영업 및 마케팅 사무원
KR2026090700022618,513200,수작업 — 반려동물 관리 종사원
KR2026090700022665,013903,수작업 — 빌딩 관리소장
KR2026090700022670,550102,수작업 — 재가 요양보호사
KR2026090700022675,550102,수작업 — 재가 요양보호사
KR2026090700022790,133200,수작업 — 응용 소프트웨어 개발자
KR2026090700022861,621200,수작업 — 선장 및 항해사·도선사
KR2026090700022868,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023000,015101,수작업 — 영업 관리자(영업소장·지점장)
KR2026090700023025,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023043,6,수작업 — 상위 6자리
KR2026090700023055,032300,수작업 — 보험 심사원 및 사무원
KR2026090700023066,136200,수작업 — 웹 운영자(홈페이지 관리자)
KR2026090700023068,512900,"수작업 — 기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)"
KR2026090700023124,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700023129,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700023174,026501,수작업 — 총무 및 일반 사무원
KR2026090700023240,564500,수작업 — 대여 제품 방문 점검원
KR2026090700023320,82,수작업 — 상위 82자리
KR2026090700023347,873100,수작업 — 육류‧어패류 및 낙농품 가공 기계 조작원
KR2026090700023366,140201,수작업 — 건축 현장소장
KR2026090700023427,214202,수작업 — 수학 강사
KR2026090700023428,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023481,029101,"수작업 — 일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)"
KR2026090700023499,307902,수작업 — 산후조리 종사원(산모 도우미)
KR2026090700023526,701900,수작업 — 기타 건설 관련 기능 종사원
KR2026090700023527,531100,수작업 — 주방장 및 요리 연구가(푸드코디네이터 포함)
KR2026090700023529,214701,수작업 — 미술 강사
KR2026090700023536,813200,수작업 — 금속 공작기계 조작원
KR2026090700023590,511200,수작업 — 미용사
KR2026090700023686,612100,수작업 — 기술 영업원
KR2026090700023708,028201,수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700023713,624500,수작업 — 하역 및 적재 단순 종사원
KR2026090700023726,013903,수작업 — 빌딩 관리소장
KR2026090700023776,2147,수작업 — 상위 2147자리
KR2026090700023789,307500,수작업 — 간호조무사
KR2026090700023795,026200,수작업 — 영업 및 마케팅 사무원
KR2026090700023796,026200,수작업 — 영업 및 마케팅 사무원
KR2026090700023812,013500,수작업 — 사회복지 관련 관리자(부서장)
KR2026090700023860,873102,수작업 — 어패류(수산물) 가공기계 조작원
KR2026090700023919,617901,수작업 — 매장 정리원(매장 보조원)
KR2026090700023966,4,수작업 — 상위 4자리
KR2026090700023989,133200,수작업 — 응용 소프트웨어 개발자
KR2026090700024031,512100,수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700024088,028100,수작업 — 무역 사무원
KR2026090700024175,136102,수작업 — 네트워크 관리자(클라우딩컴퓨터운영관리자)
KR2026090700024285,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700024351,420400,수작업 — 스포츠 강사 및 트레이너
KR2026090700024448,612100,수작업 — 기술 영업원
KR2026090700024533,6,수작업 — 상위 6자리
KR2026090700024640,013500,수작업 — 사회복지 관련 관리자(부서장)
KR2026090700024711,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700024835,028408,수작업 — 물류 사무원(물류 관리사)
KR2026090700024848,512100,수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700024864,614000,수작업 — 텔레마케터
KR2026090700024891,027100,수작업 — 회계 사무원
KR2026090700024924,307700,수작업 — 수의사 보조원
KR2026090700025002,032502,수작업 — 신용 추심원(채권 관리원)
KR2026090700025024,562200,수작업 — 방역원(해충퇴치원 포함)
KR2026090700025080,615100,수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700025122,511400,수작업 — 피부 및 체형 관리사
KR2026090700025128,026200,수작업 — 영업 및 마케팅 사무원
KR2026090700025178,214202,수작업 — 수학 강사
KR2026090700025260,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700025265,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700025472,550102,수작업 — 재가 요양보호사
KR2026090700025697,890000,수작업 — 기타 제조 관련 단순 종사원
KR2026090700025704,027100,수작업 — 회계 사무원
KR2026090700025707,611000,수작업 — 부동산 컨설턴트 및 중개사
KR2026090700025861,511200,수작업 — 미용사
KR2026090700025908,617901,수작업 — 매장 정리원(매장 보조원)
KR2026090700025932,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700025972,307500,수작업 — 간호조무사
KR2026090700026133,550102,수작업 — 재가 요양보호사
KR2026090700026148,813201,수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700026153,027100,수작업 — 회계 사무원
KR2026090700026177,4,수작업 — 상위 4자리
KR2026090700026231,214202,수작업 — 수학 강사
KR2026090700026291,151300,수작업 — 기계 및 로봇공학 시험원
KR2026090700026436,2142,수작업 — 상위 2142자리
KR2026090700026452,026100,수작업 — 경영 기획 사무원
KR2026090700026508,512100,수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700026521,550102,수작업 — 재가 요양보호사
KR2026090700026565,612100,수작업 — 기술 영업원
KR2026090700026578,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700026669,2147,수작업 — 상위 2147자리
KR2026090700026728,140201,수작업 — 건축 현장소장
KR2026090700026954,026501,수작업 — 총무 및 일반 사무원
KR2026090700026961,151100,수작업 — 기계공학 기술자 및 연구원
KR2026090700027127,029104,수작업 — 데스크 안내원
KR2026090700027139,550201,수작업 — 간병인
KR2026090700027142,550201,수작업 — 간병인
KR2026090700027242,622100,수작업 — 택시 운전원
KR2026090700027328,612100,수작업 — 기술 영업원
KR2026090700027365,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700027394,614000,수작업 — 텔레마케터
KR2026090700027408,615100,수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700027436,873102,수작업 — 어패류(수산물) 가공기계 조작원
KR2026090700027681,511400,수작업 — 피부 및 체형 관리사
KR2026090700027731,416100,수작업 — 감독 및 기술 감독
KR2026090700027748,513200,수작업 — 반려동물 관리 종사원
KR2026090700027843,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700027896,1,수작업 — 상위 1자리
KR2026090700027966,813200,수작업 — 금속 공작기계 조작원
KR2026090700028148,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700028153,512900,"수작업 — 기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)"
KR2026090700028157,029103,수작업 — 호텔·콘도·숙박시설 프론트 사무원
KR2026090700028173,029100,수작업 — 안내·접수원 및 전화교환원
KR2026090700028175,029100,수작업 — 안내·접수원 및 전화교환원
KR2026090700028238,511200,수작업 — 미용사
KR2026090700028285,871100,수작업 — 제과원 및 제빵사
KR2026090700028287,511200,수작업 — 미용사
KR2026090700028330,140201,수작업 — 건축 현장소장
KR2026090700028348,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700028469,307600,수작업 — 환자안전 관리사
KR2026090700028567,550102,수작업 — 재가 요양보호사
KR2026090700028568,550102,수작업 — 재가 요양보호사
KR2026090700028580,151100,수작업 — 기계공학 기술자 및 연구원
KR2026090700028614,7,수작업 — 상위 7자리
KR2026090700028620,029104,수작업 — 데스크 안내원
KR2026090700028626,013903,수작업 — 빌딩 관리소장
KR2026090700028641,872100,수작업 — 정육 가공원 및 도축원
KR2026090700028706,1,수작업 — 상위 1자리
KR2026090700028893,153,수작업 — 상위 153자리
KR2026090700028894,153,수작업 — 상위 153자리
KR2026090700028918,024401,수작업 — 행사·이벤트 기획자
KR2026090700028955,6,수작업 — 상위 6자리
KR2026090700028961,151300,수작업 — 기계 및 로봇공학 시험원
KR2026090700028968,622300,수작업 — 화물차 및 특수차 운전원
KR2026090700028969,622300,수작업 — 화물차 및 특수차 운전원
KR2026090700028970,622300,수작업 — 화물차 및 특수차 운전원
KR2026090700028993,702900,수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700029014,307500,수작업 — 간호조무사
KR2026090700029046,013903,수작업 — 빌딩 관리소장
KR2026090700029052,614000,수작업 — 텔레마케터
KR2026090700029085,624500,수작업 — 하역 및 적재 단순 종사원
KR2026090700029202,4,수작업 — 상위 4자리
KR2026090700029261,550102,수작업 — 재가 요양보호사
KR2026090700029346,561400,수작업 — 재활용품 및 쓰레기 수거원
KR2026090700029386,564300,수작업 — 주차 관리원 및 안내원
KR2026090700029408,834002,수작업 — 빌딩 전기관리원
KR2026090700029419,904100,수작업 — 양식원
KR2026090700029607,6,수작업 — 상위 6자리
KR2026090700029659,612100,수작업 — 기술 영업원
KR2026090700029701,82,수작업 — 상위 82자리
KR2026090700029740,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700030033,026201,수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700030083,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700030100,813200,수작업 — 금속 공작기계 조작원
KR2026090700030130,232200,수작업 — 보육 관련 시설 돌봄 종사원
KR2026090700030198,416100,수작업 — 감독 및 기술 감독
KR2026090700030216,214101,수작업 — 영어 강사
KR2026090700030364,614000,수작업 — 텔레마케터
KR2026090700030503,2142,수작업 — 상위 2142자리
KR2026090700030572,550102,수작업 — 재가 요양보호사
KR2026090700030580,561400,수작업 — 재활용품 및 쓰레기 수거원
KR2026090700030650,8900,수작업 — 상위 8900자리
KR2026090700030679,032300,수작업 — 보험 심사원 및 사무원
KR2026090700030714,532202,수작업 — 일반 음식점 접객서빙원
KR2026090700030729,1402,수작업 — 상위 1402자리
KR2026090700030841,027100,수작업 — 회계 사무원
KR2026090700030864,032300,수작업 — 보험 심사원 및 사무원
KR2026090700030928,6,수작업 — 상위 6자리
KR2026090700030929,6,수작업 — 상위 6자리
KR2026090700030997,2142,수작업 — 상위 2142자리
KR2026090700031134,029203,수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700031166,823300,수작업 — 주조원
KR2026090700031170,82,수작업 — 상위 82자리
KR2026090700031189,561100,수작업 — 건물 청소원
KR2026090700031194,813201,수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700031245,307500,수작업 — 간호조무사
KR2026090700031394,5,수작업 — 상위 5자리
KR2026090700031437,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700031447,153,수작업 — 상위 153자리
KR2026090700031451,617901,수작업 — 매장 정리원(매장 보조원)
KR2026090700031464,029100,수작업 — 안내·접수원 및 전화교환원
KR2026090700031488,821200,수작업 — 금속가공 기계 조작원
KR2026090700033580,415400,수작업 — 시각 디자이너
KR2026090700033589,561400,수작업 — 재활용품 및 쓰레기 수거원
KR2026090700033590,905200,"수작업 — 임업 관련 단순 종사원(산림보호감시, 산불감시원 등)"
KR2026090700033593,420200,수작업 — 직업 운동선수
KR2026090700033594,420100,수작업 — 스포츠 감독 및 코치
KR2026090700033606,413201,수작업 — 사서
KR2026090700033618,032100,수작업 — 은행 사무원(출납창구 제외)
KR2026090700033643,301100,수작업 — 전문 의사
KR2026090700033646,029903,수작업 — 사무 보조원(공공기관)
KR2026090700035892,032502,수작업 — 신용 추심원(채권 관리원)
KR2026090700037206,622200,수작업 — 버스 운전원
KR2026090700037232,8,수작업 — 상위 8자리
KR2026090700037349,550102,수작업 — 재가 요양보호사
KR2026090700037374,564300,수작업 — 주차 관리원 및 안내원
KR2026090700037659,032502,수작업 — 신용 추심원(채권 관리원)
KR2026090700038247,612100,수작업 — 기술 영업원
KR2026090700038346,028201,수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700121067,622300,수작업 — 화물차 및 특수차 운전원
KR2026090700121638,4,수작업 — 상위 4자리
KR2026090700142100,6,수작업 — 상위 6자리
KR2026090700142157,415502,수작업 — 게임 디자이너
KR2026090700142276,550102,수작업 — 재가 요양보호사
KR2026090700142362,550102,수작업 — 재가 요양보호사
KR2026090700142396,550102,수작업 — 재가 요양보호사
KR2026090700142435,232903,수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700142451,561100,수작업 — 건물 청소원
KR2026090700142456,550102,수작업 — 재가 요양보호사
KR2026090700142457,013903,수작업 — 빌딩 관리소장
KR2026090700142497,561100,수작업 — 건물 청소원
KR2026090700142503,013903,수작업 — 빌딩 관리소장
KR2026090700142581,305000,수작업 — 영양사
KR2026090700142584,834002,수작업 — 빌딩 전기관리원
KR2026090700142591,013903,수작업 — 빌딩 관리소장
KR2026090700142609,904100,수작업 — 양식원
KR2026090700142741,550102,수작업 — 재가 요양보호사
